,Addresse,Lat,Lng,Name,Rating
0,"Am Münsterhof, Waaggasse 7, 8001 Zürich, Switzerland",47.3701154,8.5402376,Orsini,4.6
1,"Niederdorfstrasse 80, 8001 Zürich, Switzerland",47.3760283,8.5441542,La Pasta,4.4
2,"Badenerstrasse 275, 8003 Zürich, Switzerland",47.3761366,8.5146914,Taverne da Angelo,4.4
3,"Rudolfstrasse 6, 8008 Zürich, Switzerland",47.357036,8.5575,Gandria,4.9
4,"Gertrudstrasse 37, 8003 Zürich, Switzerland",47.37339559999999,8.5153012,Da Michelangelo,4.5
5,"Hohlstrasse 449, 8048 Zürich, Switzerland",47.3869398,8.5014775,Da Angela,4.6
6,"In Gassen 6, 8001 Zürich, Switzerland",47.3707055,8.5407788,Bindella,4.3
7,"Forchstrasse 168, 8032 Zürich, Switzerland",47.36020389999999,8.56573,Marcellino,4.8
8,"Augustinergasse 25, 8001 Zürich, Switzerland",47.3722176,8.5387974,Cantinetta Antinori,4.3
9,"Langstrasse 215, 8005 Zürich, Switzerland",47.383264,8.530178,Cinque,4.2
10,"Dufourstrasse 1, 8008 Zürich, Switzerland",47.364525,8.547442799999999,Conti,4.3
11,"Nordstrasse 182, 8037 Zürich, Switzerland",47.392419,8.531426,Tre Fratelli,4.5
12,"Weberstrasse 14, 8004 Zürich, Switzerland",47.370916,8.5283277,Il Giglio,4.5
13,"Waaggasse 5/7, 8001 Zürich, Switzerland",47.3701028,8.5398895,Santa Lucia,4.1
14,"Nansenstrasse 9, 8050 Zürich, Switzerland",47.4107103,8.544783899999999,Mamma Mia,3.9
15,"Luisenstrasse 40, 8005 Zürich, Switzerland",47.384228,8.530403,Cucina,4.2
16,"Zeughausstrasse 61, 8004 Zürich, Switzerland",47.3763708,8.5292777,Italia,4.3
17,"Sternenstrasse 11, 8002 Zürich, Switzerland",47.360042,8.5340113,L'altro,4.5
18,"Stampfenbachstrasse 8, 8001 Zürich, Switzerland",47.377759,8.543813,Commihalle,4.1
19,"Ohmstrasse 11, 8050 Zürich, Switzerland",47.41018520000001,8.545874999999999,Concerto,4.2
20,"Limmatquai 82, 8001 Zürich, Switzerland",47.3735174,8.543035,Bianchi,4.4
21,"Dufourstrasse 161, 8008 Zürich, Switzerland",47.35496,8.55498,Riviera Enoteca con Cucina,4.7
22,"Rotwandstrasse 49, 8004 Zürich, Switzerland",47.3755142,8.528422599999999,L'Osteria Mamma Leone,4.4
23,"Badenerstrasse 526, 8048 Zürich, Switzerland",47.382678,8.50113,Da Cono,3.9
24,"Mainaustrasse 23, 8008 Zürich, Switzerland",47.3606913,8.5499228,Amalfi,4.3
25,"Mühlebachstrasse 2, 8008 Zürich, Switzerland",47.3659318,8.5489566,Commercio,4.2
26,"Löwenstrasse 61, 8001 Zürich, Switzerland",47.3769637,8.5379997,Spiga,4.1
27,"Niederdorfstrasse 7, 8001 Zürich, Switzerland",47.3730085,8.5435806,Pulcino,3.9
28,"Waffenplatzstrasse 15, 8002 Zürich, Switzerland",47.361196,8.526721499999999,Don Leone,4.3
29,"Lavaterstrasse 87, 8002 Zürich, Switzerland",47.36025530000001,8.5333044,Il Tartufo,4.3
30,"Albisstrasse 25, 8038 Zürich, Switzerland",47.34400249999999,8.5318761,Casa Nostrana,4.7
31,"Hohlstrasse 451, 8048 Zürich, Switzerland",47.38708219999999,8.500952500000002,Azzurro,4.5
32,"Limmattalstrasse 228, 8049 Zürich, Switzerland",47.40228159999999,8.4951407,Da Biagio,4.4
33,"Niederdorfstrasse 15, 8001 Zürich, Switzerland",47.37350319999999,8.543577599999999,Vallocaia,4.0
34,"Spitalgasse 5, 8001 Zürich, Switzerland",47.3736493,8.5442957,Cicchetteria Da Rosa,4.5
35,"Niederdorfstrasse 33, 8001 Zürich, Switzerland",47.3746714,8.5437078,Tre Cucine,3.8
36,"Seefeldstrasse 273, 8008 Zürich, Switzerland",47.3488968,8.5633246,La Zagra,4.4
37,"Bellerivestrasse 2, 8008 Zürich, Switzerland",47.360935,8.54799,Frascati,3.8
38,"Forchstrasse 2, 8008 Zürich, Switzerland",47.364373,8.554728899999999,Sorrento,4.1
39,"Sandstrasse 7, 8003 Zürich, Switzerland",47.366224,8.521243799999999,Napoli,3.9
40,"Stauffacherstrasse 31, 8004 Zürich, Switzerland",47.3735098,8.528681,"Pizzeria Ristorante Molino, Stauffacher",4.1
41,"Schmidgasse 3, 8001 Zürich, Switzerland",47.3747542,8.5435477,Toscano,4.6
42,"Kanzleistrasse 103, 8004 Zürich, Switzerland",47.376152,8.522207,La Baracca,4.4
43,"Zentralstrasse 161, 8003 Zürich, Switzerland",47.375878,8.514154999999999,Il Salotto,4.7
44,"Kasernenstrasse 77A, 8004 Zürich, Switzerland",47.3760875,8.5338356,Cucina,4.2
45,"Stampfenbachstrasse 6, 8001 Zürich, Switzerland",47.37750279999999,8.5439254,Positano,4.2
46,"Bertastrasse 36, 8003 Zürich, Switzerland",47.37410149999999,8.5135446,Bottega Berta,4.3
47,"Seestrasse 82, 8002 Zürich, Switzerland",47.3596841,8.5318615,Da Guido,3.9
48,"Hardstrasse 324, 8005 Zürich, Switzerland",47.390332,8.522853,il Gallo,3.9
49,"Freiestrasse 213, 8032 Zürich, Switzerland",47.360868,8.566563,Antiquario da Marco,4.7
50,"Mutschellenstrasse 137, 8038 Zürich, Switzerland",47.346956,8.5286941,Allegro,4.3
51,"Seegartenstrasse 14, 8008 Zürich, Switzerland",47.3613908,8.5493898,Latino,4.1
52,"18, Giessereistrasse, 8005 Zürich, Switzerland",47.3900388,8.517926899999999,Toscano in Puls 5,3.9
53,"Seefeldstrasse 124, 8008 Zürich, Switzerland",47.3580483,8.5539008,Ristorante Totò,3.9
