hausnummer,latitude,longitude,name,ort,plz,strasse,typ
42,46.837574,8.186167,coop-supermarkt-giswil,Giswil,6074,Brünigstrasse,retail
2,46.728708,8.181781,coop-supermarkt-meiringen,Meiringen,3860,Alpwegern,retail
32,46.897303,8.251211,coop-supermarkt-sarnen,Sarnen,6060,Marktstrasse,retail
32,46.897303,8.251211,coop-restaurant-sarnen,Sarnen,6060,Marktstrasse,restaurant
5,46.820871,8.404397,coop-supermarkt-engelberg,Engelberg,6390,Titliszentrum,retail
5,46.820871,8.404397,coop-restaurant-engelberg,Engelberg,6390,Titliszentrum,restaurant
139,46.754612,8.036984,coop-supermarkt-brienz,Brienz,3855,Hauptstrasse,retail
1,46.937705,8.269723,coop-supermarkt-alpnach,Alpnach-Dorf,6055,Schoriederstrasse,retail
4/6,46.958373,8.368674,coop-supermarkt-stans,Stans,6370,Buochserstrasse,retail
4/6,46.958373,8.368674,coop-restaurant-stans,Stans,6370,Buochserstrasse,restaurant
101,46.624278,8.035829,coop-supermarkt-grindelwald,Grindelwald,3818,Dorfstrasse,retail
101,46.624237,8.035162,coop-vitality-grindelwald,Grindelwald,3818,Dorfstrasse,vitality
2,46.981689,8.310388,coop-supermarkt-hergiswil-bahnhofstrasse,Hergiswil,6052,Bahnhofstrasse,retail
,46.975536,8.341713,coop-supermarkt-stansstad,Stansstad,6362,Schützenmatte,retail
5,46.964964,8.381035,coop-bau-hobby-b-h-stans,Stans,6370,Rieden,bh
2,46.985953,8.311483,coop-supermarkt-hergiswil-landweg,Hergiswil,6052,Landweg,retail
15,46.945754,8.00806,pronto-schuepfheim,Schüpfheim,6170,Hindervormüli,pronto
9,46.947124,8.009205,coop-supermarkt-schuepfheim,Schüpfheim,6170,Hindervormüli,retail
6,46.979175,8.415774,coop-supermarkt-buochs,Buochs,6374,Nähseydi,retail
1,46.993344,8.06578,coop-supermarkt-entlebuch,Entlebuch,6162,Wilgutstrasse,retail
19,47.017518,8.299724,coop-supermarkt-kriens-pilatusmarkt,Kriens,6010,Ringstrasse,retail
19,47.017518,8.299724,coop-restaurant-kriens-pilatusmarkt,Kriens,6010,Ringstrasse,restaurant
19,47.017536,8.299725,coop-vitality-kriens-pilatusmarkt,Kriens,6010,Ringstrasse,vitality
19,47.017536,8.299725,christ-kriens-pilatusmarkt-christ,Kriens,6010,Ringstrasse,christ
19,47.017525,8.300001,impo-kriens-pilatusmarkt-ip,Kriens,6010,Ringstrasse,impo
19,47.017674,8.299372,coop-city-city-kriens-pilatusmarkt,Kriens,6010,Ringstrasse,city
19,47.01804,8.298509,coop-bau-hobby-b-h-kriens,Kriens,6010,Ringstrasse,bh
15,47.01785,8.302189,pronto-kriens-pilatusmarkt,Kriens,6010,Ringstrasse,pronto
