,Anzahl,Firma,Jahr,Lehrstelle,Ort
0,1,Alois Bader AG,2018,Abdichter/in EFZ,Emmetten (NW)
1,1,Grütter Kunststoff + Formen AG,2018,Abdichtungspraktiker/in EBA,Hombrechtikon (ZH)
2,1,Semadeni AG,2019,Agrarpraktiker/in EBA,Ostermundigen 1 (BE)
3,1,Hoffmann Neopac AG,2019,Agrarpraktiker/in (Landwirtschaft) EBA,Oberdiessbach (BE)
4,1,Jansen AG,2018,Agrarpraktiker/in (Spezialkulturen) EBA,Oberriet SG (SG)
5,1,Airex AG,2018,Agrarpraktiker/in (Weinbereitung) EBA,Sins (AG)
6,1,Sika Technology AG,2018,Anlagen- und Apparatebauer/in EFZ,Sarnen (OW)
7,1,Compotech AG,2018,Anlagenführer/in EFZ,Weinfelden (TG)
8,1,Plastechnik AG,2018,Architekturmodellbauer/in EFZ,Bösingen (FR)
9,1,Ypsomed AG,2019,Assistent/in Gesundheit und Soziales EBA,Burgdorf (BE)
10,1,Nolato Treff AG,2018,Augenoptiker/in EFZ,Degersheim (SG)
11,1,Greiner Packaging AG,2018,Automatiker/in EFZ,Diepoldsau (SG)
12,1,Wago Contact SA,2018,Automatikmonteur/in EFZ,Domdidier (FR)
13,1,B. Braun Medical AG,2018,Automobil-Assistent/in EBA,Escholzmatt (LU)
14,1,Huber + Suhner AG,2018,Automobil-Fachmann/-frau EFZ,Herisau (AR)
15,1,WIKA Schweiz AG,2018,Automobil-Fachmann/-frau (Nutzfahrzeuge) EFZ,Hitzkirch (LU)
16,1,SPT Roth AG,2019,Automobil-Fachmann/-frau (Personenwagen) EFZ,Lyss (BE)
17,1,Lanker AG,2018,Automobil-Mechatroniker/in EFZ,Montlingen (SG)
18,1,Schütz Montlingen GmbH & Co. KG,2018,Automobil-Mechatroniker/in (Nutzfahrzeuge) EFZ,Montlingen (SG)
19,1,Netstal Maschinen AG,2018,Automobil-Mechatroniker/in (Personenwagen) EFZ,Näfels (GL)
20,1,SIG Combibloc Group AG,2018,Bäcker/in-Konditor/in-Confiseur/in EBA,Neuhausen am Rheinfall (SH)
21,1,Semadeni AG,2019,Bäcker/in-Konditor/in-Confiseur/in EFZ,Ostermundigen 1 (BE)
22,2,Sika Automotive AG,2018,Bäcker/in-Konditor/in-Confiseur/in (Bäckerei-Konditorei) EFZ,Romanshorn (TG)
23,1,Gebrüder Renggli AG,2018,Bäcker/in-Konditor/in-Confiseur/in (Konditorei-Confiserie) EFZ,Schaffhausen (SH)
24,2,Wild & Küpfer AG,2018,Baumaschinenmechaniker/in EFZ,Schmerikon (SG)
25,2,Kunststoff Schwanden AG,2018,Baupraktiker/in EBA,Schwanden GL (GL)
26,1,Georg Fischer Rohrleitungssysteme AG,2019,Bauwerktrenner/in EFZ,Seewis-Pardisla (GR)
27,1,KBS-Spritztechnik GmbH,2018,Bekleidungsgestalter/in EFZ,St. Antoni (FR)
28,1,Rotho Kunststoff AG,2018,Bekleidungsgestalter/in (Berufs- und Schutzbekleidung) EFZ,Würenlingen (AG)
29,1,Ruba Thermoplast AG,2018,Bekleidungsgestalter/in (Damenbekleidung) EFZ,Zuzgen (AG)
30,2,EMS-CHEMIE AG,2019,Bekleidungsgestalter/in (Herrenbekleidung) EFZ,Domat/Ems (GR)
31,1,Sika Manufacturing AG,2018,Bekleidungsgestalter/in (Kopfbedeckung) EFZ,Düdingen (FR)
32,1,Georg Fischer Rohrleitungssysteme AG,2019,Bekleidungsgestalter/in (Pelzbekleidung) EFZ,Seewis-Pardisla (GR)
33,1,CEBO Injection SA,2018,Bekleidungsnäher/in EBA,Vallorbe (VD)
