,Anzahl,Firma,Jahr,Lehrstelle,Ort
0,1,Elektrizitätswerk Altdorf AG,2019,Abdichter/in EFZ,Altdorf UR (UR)
1,1,Stadt Altstätten,2018,Abdichtungspraktiker/in EBA,Altstätten SG (SG)
2,1,Arosa Energie,2019,Agrarpraktiker/in EBA,Arosa (GR)
3,1,Regionalwerke AG Baden,2018,Agrarpraktiker/in (Landwirtschaft) EBA,Baden (AG)
4,1,IWB Industrielle Werke Basel,2018,Agrarpraktiker/in (Spezialkulturen) EBA,Basel (BS)
5,1,Repower AG,2019,Agrarpraktiker/in (Weinbereitung) EBA,Bever (GR)
6,1,Stadt Bischofszell,2018,Anlagen- und Apparatebauer/in EFZ,Bischofszell (TG)
7,1,AEW ENERGIE AG,2018,Anlagenführer/in EFZ,Bremgarten AG (AG)
8,1,Elektrizitäts- und Wasserwerk,2018,Architekturmodellbauer/in EFZ,Buchs SG 1 (SG)
9,2,IBC Energie Wasser Chur,2019,Assistent/in Gesundheit und Soziales EBA,Chur (GR)
10,1,EWD Elektrizitätswerk Davos AG,2019,Augenoptiker/in EFZ,Davos Platz (GR)
11,1,Glattwerk AG,2018,Automatiker/in EFZ,Dübendorf (ZH)
12,1,Flims Electric AG,2019,Automatikmonteur/in EFZ,Flims Dorf (GR)
13,1,EW Höfe AG,2018,Automobil-Assistent/in EBA,Freienbach (SZ)
14,1,St.Gallisch-Appenzellische Kraftwerke AG,2018,Automobil-Fachmann/-frau EFZ,Gais (AR)
15,1,Technische Betriebe,2018,Automobil-Fachmann/-frau (Nutzfahrzeuge) EFZ,Goldach (SG)
16,1,Elektrizitätswerk Heiden AG,2018,Automobil-Fachmann/-frau (Personenwagen) EFZ,Heiden (AR)
17,1,LEIKA-BAU AG,2018,Automobil-Mechatroniker/in EFZ,Herrliberg (ZH)
18,1,Gemeindewerke Horgen,2018,Automobil-Mechatroniker/in (Nutzfahrzeuge) EFZ,Horgen (ZH)
19,2,Repower AG,2019,Automobil-Mechatroniker/in (Personenwagen) EFZ,Ilanz (GR)
20,1,Industrielle Betriebe Interlaken,2019,Bäcker/in-Konditor/in-Confiseur/in EBA,Interlaken (BE)
21,1,Pfister AG,2018,Bäcker/in-Konditor/in-Confiseur/in EFZ,Islikon (TG)
22,2,Elektrizitätswerk Jona-Rapperswil AG,2018,Bäcker/in-Konditor/in-Confiseur/in (Bäckerei-Konditorei) EFZ,Jona (SG)
23,1,Baumeler Leitungsbau AG,2018,Bäcker/in-Konditor/in-Confiseur/in (Konditorei-Confiserie) EFZ,Kerns (OW)
24,1,Repower AG,2019,Baumaschinenmechaniker/in EFZ,Küblis (GR)
25,1,Repower AG,2019,Baupraktiker/in EBA,Landquart (GR)
26,1,EWL Genossenschaft,2019,Bauwerktrenner/in EFZ,Lauterbrunnen (BE)
27,1,Elektrizitätswerk Vaz/Obervaz,2019,Bekleidungsgestalter/in EFZ,Lenzerheide/Lai (GR)
28,1,Centralschweizerische Kraftwerke AG,2018,Bekleidungsgestalter/in (Berufs- und Schutzbekleidung) EFZ,Luzern (LU)
29,2,ewl Kabelnetz AG,2018,Bekleidungsgestalter/in (Damenbekleidung) EFZ,Luzern (LU)
30,1,Energie Seeland AG,2019,Bekleidungsgestalter/in (Herrenbekleidung) EFZ,Lyss (BE)
31,1,EBM Netz AG,2018,Bekleidungsgestalter/in (Kopfbedeckung) EFZ,Münchenstein (BL)
32,2,RIS Netzbau AG,2018,Bekleidungsgestalter/in (Pelzbekleidung) EFZ,Murg (SG)
33,1,DransEnergie SA,2018,Bekleidungsnäher/in EBA,Orsières (VS (fr))
34,2,BKW Energie AG,2019,Betonwerker/in EFZ,Ostermundigen (BE)
35,1,Repower AG,2019,Boden-Parkettleger/in EFZ,Poschiavo (GR)
36,1,Arnold AG,2018,Boden-Parkettleger/in (Parkett) EFZ,Pratteln (BL)
37,1,AEW ENERGIE AG,2018,Boden-Parkettleger/in (Textile und elastische Beläge) EFZ,Rheinfelden (AG)
38,1,Elektrizitätswerk Rümlang,2018,Bootbauer/in EFZ,Rümlang (ZH)
39,1,ebs Energie AG,2018,Bootfachwart/in EFZ,Schwyz (SZ)
