,Anzahl,Firma,Jahr,Lehrstelle,Ort
0,1,Bergbahnen Disentis AG,2019,Abdichter/in EFZ,Disentis/Mustér (GR)
1,1,Luftseilbahnen Fiesch-Eggishorn AG,2018,Abdichtungspraktiker/in EBA,Fiesch (VS (de))
2,1,Luftseilbahn Rhäzüns-Feldis AG,2019,Agrarpraktiker/in EBA,Rhäzüns (GR)
3,1,Stoosbahnen AG,2018,Agrarpraktiker/in (Landwirtschaft) EBA,Stoos SZ (SZ)
4,1,Bergbahnen,2019,Agrarpraktiker/in (Spezialkulturen) EBA,Breil/Brigels (GR)
5,1,Bergbahnen Disentis AG,2019,Agrarpraktiker/in (Weinbereitung) EBA,Disentis/Mustér (GR)
6,1,Luftseilbahnen Fiesch-Eggishorn AG,2018,Anlagen- und Apparatebauer/in EFZ,Fiesch (VS (de))
7,3,Firstbahn AG,2019,Anlagenführer/in EFZ,Interlaken (BE)
8,1,Weisse Arena Bergbahnen AG,2019,Architekturmodellbauer/in EFZ,Laax GR 2 (GR)
9,1,Engadin St. Moritz Mountains AG,2019,Assistent/in Gesundheit und Soziales EBA,St. Moritz (GR)
10,1,Hummel & Meyer AG,2018,Augenoptiker/in EFZ,Aesch BL (BL)
11,4,Morath AG,2018,Automatiker/in EFZ,Allschwil (BL)
12,1,Abdichtungsbau Durrer AG,2018,Automatikmonteur/in EFZ,Alpnach Dorf (OW)
13,1,W. Durrer Dach und Wand AG,2018,Automobil-Assistent/in EBA,Alpnach Dorf (OW)
14,1,G. Bosshard AG,2019,Automobil-Fachmann/-frau EFZ,Altdorf UR (UR)
15,1,Isabau GmbH,2018,Automobil-Fachmann/-frau (Nutzfahrzeuge) EFZ,Altstätten SG (SG)
16,1,Fässler Ivo AG,2019,Automobil-Fachmann/-frau (Personenwagen) EFZ,Appenzell (AI)
17,1,Fuchs AG,2019,Automobil-Mechatroniker/in EFZ,Appenzell Meistersrüte (AI)
18,1,La Toiture SA,2018,Automobil-Mechatroniker/in (Nutzfahrzeuge) EFZ,Arnex-sur-Orbe (VD)
19,1,Dünnenberger AG,2019,Automobil-Mechatroniker/in (Personenwagen) EFZ,Baar (ZG)
20,3,Schoop + Co. AG,2018,Bäcker/in-Konditor/in-Confiseur/in EBA,Baden (AG)
21,1,Dietrich Spenglerei GmbH,2018,Bäcker/in-Konditor/in-Confiseur/in EFZ,Balgach (SG)
22,1,Max Ackermann,2018,Bäcker/in-Konditor/in-Confiseur/in (Bäckerei-Konditorei) EFZ,Balsthal (SO)
23,1,Gebrüder Ziegler AG,2018,Bäcker/in-Konditor/in-Confiseur/in (Konditorei-Confiserie) EFZ,Basel (BS)
24,1,Jäggi Vollmer GmbH,2018,Baumaschinenmechaniker/in EFZ,Basel (BS)
25,1,Bauspenglerei Erwin + Peter Gut AG,2018,Baupraktiker/in EBA,Bassersdorf (ZH)
26,2,Carl Meier Sohn AG,2018,Bauwerktrenner/in EFZ,Bassersdorf (ZH)
27,1,E. Jörg AG,2019,Bekleidungsgestalter/in EFZ,Bätterkinden (BE)
28,1,Ruedy Polenz AG,2018,Bekleidungsgestalter/in (Berufs- und Schutzbekleidung) EFZ,Beckenried (NW)
29,1,Hensch AG,2018,Bekleidungsgestalter/in (Damenbekleidung) EFZ,Beggingen (SH)
30,1,"Aeberhard Spenglerei AG, Berg",2018,Bekleidungsgestalter/in (Herrenbekleidung) EFZ,Berg TG (TG)
31,1,Jost Spenglerei AG,2019,Bekleidungsgestalter/in (Kopfbedeckung) EFZ,Bern (BE)
32,1,W + H Messerli AG,2019,Bekleidungsgestalter/in (Pelzbekleidung) EFZ,Bern (BE)
33,2,Ramseyer & Dilger AG,2019,Bekleidungsnäher/in EBA,Bern 22 (BE)
