,Anzahl,Firma,Jahr,Lehrstelle,Ort
0,1,Trend Coiffeur & Kosmetik,2018,Abdichter/in EFZ,Baden (AG)
1,1,AERNI riedogroup AG,2019,Abdichtungspraktiker/in EBA,Bern (BE)
2,1,Upstairs Plus GmbH,2019,Agrarpraktiker/in EBA,Bern (BE)
3,1,Haute Coiffure Gold,2018,Agrarpraktiker/in (Landwirtschaft) EBA,Binningen (BL)
4,1,Gidor Coiffure,2018,Agrarpraktiker/in (Spezialkulturen) EBA,Buchs SG (SG)
5,1,Nicana GmbH,2018,Agrarpraktiker/in (Weinbereitung) EBA,Buchs SG (SG)
6,1,Gidor Coiffure,2018,Anlagen- und Apparatebauer/in EFZ,Bülach (ZH)
7,1,Bühler Hair Cosmetic,2019,Anlagenführer/in EFZ,Chur (GR)
8,2,Coiffeurfachschule Studio Dobmann,2019,Architekturmodellbauer/in EFZ,Chur (GR)
9,1,Gidor-Coiffure,2019,Assistent/in Gesundheit und Soziales EBA,Chur (GR)
10,1,Haaroase,2019,Augenoptiker/in EFZ,Chur (GR)
11,1,The G-Vision Hairstylist,2019,Automatiker/in EFZ,Chur (GR)
12,1,Mark & Tröndle,2019,Automatikmonteur/in EFZ,Davos Platz (GR)
13,1,Gidor Coiffure,2018,Automobil-Assistent/in EBA,Dietikon (ZH)
14,1,Hickenbick,2018,Automobil-Fachmann/-frau EFZ,Dietikon (ZH)
15,1,Acqua Verde Hair & Fashion GmbH,2018,Automobil-Fachmann/-frau (Nutzfahrzeuge) EFZ,Einsiedeln (SZ)
16,1,Coiffure GmbH féminin&masculin,2018,Automobil-Fachmann/-frau (Personenwagen) EFZ,Emmen (LU)
17,1,Coiffure Wettstein,2018,Automobil-Mechatroniker/in EFZ,Emmenbrücke (LU)
18,1,Louis Philipp Coiffure,2018,Automobil-Mechatroniker/in (Nutzfahrzeuge) EFZ,Frauenfeld (TG)
19,1,Coiffeur Studio Senna,2018,Automobil-Mechatroniker/in (Personenwagen) EFZ,Gossau SG (SG)
20,1,Gidor-Coiffure,2018,Bäcker/in-Konditor/in-Confiseur/in EBA,Grenchen (SO)
21,1,GIDOR-Coiffure,2018,Bäcker/in-Konditor/in-Confiseur/in EFZ,Herisau (AR)
22,1,Coiffure Etter,2018,Bäcker/in-Konditor/in-Confiseur/in (Bäckerei-Konditorei) EFZ,Horw (LU)
23,1,Gidor Coiffure,2018,Bäcker/in-Konditor/in-Confiseur/in (Konditorei-Confiserie) EFZ,Kloten (ZH)
24,1,The Cannazza Company AG,2018,Baumaschinenmechaniker/in EFZ,Küsnacht ZH (ZH)
25,1,Stedtlicoiffeur Christian Hamann,2018,Baupraktiker/in EBA,Laufen (BL)
26,1,Coiffeur Life-Style,2018,Bauwerktrenner/in EFZ,Lenzburg (AG)
27,1,Haaratelier Aqualis,2018,Bekleidungsgestalter/in EFZ,Leukerbad (VS (de))
28,1,HaarGallery,2018,Bekleidungsgestalter/in (Berufs- und Schutzbekleidung) EFZ,Liestal (BL)
29,1,Gidor Coiffure,2018,Bekleidungsgestalter/in (Damenbekleidung) EFZ,Luzern (LU)
30,1,Gidor-Coiffure,2018,Bekleidungsgestalter/in (Herrenbekleidung) EFZ,Luzern (LU)
31,1,Gidor-Coiffure,2018,Bekleidungsgestalter/in (Kopfbedeckung) EFZ,Luzern (LU)
32,1,Life for Hair,2018,Bekleidungsgestalter/in (Pelzbekleidung) EFZ,Luzern (LU)
33,1,Pascal Hair Trend GmbH,2018,Bekleidungsnäher/in EBA,Luzern (LU)
34,1,Team Erwin Jost,2018,Betonwerker/in EFZ,Luzern (LU)
35,1,Trend Solutions GmbH,2018,Boden-Parkettleger/in EFZ,Luzern (LU)
36,1,Philipp Mäser,2018,Boden-Parkettleger/in (Parkett) EFZ,Marbach SG (SG)
37,1,Coiffure Achhammer,2018,Boden-Parkettleger/in (Textile und elastische Beläge) EFZ,Meilen (ZH)
38,1,"AC Projet Sàrl ""Jean-Louis David""",2018,Bootbauer/in EFZ,Meyrin (GE)
39,1,Espace Coiffure,2018,Bootfachwart/in EFZ,Muttenz (BL)
40,1,Coiffure Mondo Nuovo,2018,Buchhändler/in EFZ,Neuenburg (NE)
41,1,Notter Hairteam,2018,Büchsenmacher/in EFZ,Oberrohrdorf (AG)
42,1,Coiffure La Perl,2019,Bühnentänzer/in EFZ,Pontresina (GR)
43,1,Gidor Coiffure,2018,Bühnentänzer/in (Klassischer Tanz) EFZ,Regensdorf (ZH)
44,1,Fashion Hairdressers GmbH,2018,Bühnentänzer/in (Zeitgenössischer Tanz) EFZ,Reinach BL (BL)
45,1,Coiffeur für alli,2018,Büroassistent/in EBA,Rorbas (ZH)
46,1,Coiffure Flair,2018,Carrosserielackierer/in EFZ,Rorschach (SG)
47,1,Gidor Coiffure,2018,Carrosseriespengler/in EFZ,Rorschach (SG)
48,1,Creatività,2018,Chemie- und Pharmapraktiker/in EBA,Röschenz (BL)
49,1,Coiffure Häuptli La Biosthetique,2018,Chemie- und Pharmatechnologe/-login EFZ,Rothrist (AG)
50,2,Cuafför LADA,2019,Coiffeur/-euse EBA,Samedan (GR)
51,1,Coiffeur Röbi,2018,Coiffeur/-euse EFZ,Schaffhausen (SH)
52,2,Hairplanet,2018,Dachdecker/in EFZ,Schaffhausen (SH)
53,1,Q-Quality Coiffure,2018,Dachdeckerpraktiker/in EBA,Schaffhausen (SH)
54,1,The Cutting Room GmbH,2018,Dekorationsnäher/in EBA,Schaffhausen (SH)
55,1,Gidor Coiffure,2018,Dentalassistent/in EFZ,Schlieren (ZH)
56,1,Hair & Nail,2018,Detailhandelsassistent/in EBA,Sempach (LU)
57,1,charisma-youngstyle,2018,Detailhandelsassistent/in (Autoteile-Logistik) EBA,Stäfa (ZH)
58,2,Orinad Coiffure,2018,"Detailhandelsassistent/in (Bäckerei, Konditorei, Confiserie) EBA",Thalwil (ZH)
59,1,Les Artistes Intercoiffure GmbH,2018,Detailhandelsassistent/in (Consumer-Electronics) EBA,Wädenswil (ZH)
60,1,Gidor Coiffure,2018,Detailhandelsassistent/in (Do-it-yourself) EBA,Wattwil (SG)
61,1,Coiffeur Schmidhauser,2018,Detailhandelsassistent/in (Eisenwaren) EBA,Wildhaus (SG)
62,1,Coiffeur Trendsetter,2018,Detailhandelsassistent/in (Elektrofach) EBA,Willisau (LU)
63,1,Coiffure Krug,2018,Detailhandelsassistent/in (Farben) EBA,Winterthur (ZH)
64,1,Gidor Coiffure,2018,Detailhandelsassistent/in (Fleischwirtschaft) EBA,Winterthur (ZH)
65,1,Gidor Coiffure,2018,Detailhandelsassistent/in (Flower) EBA,Winterthur (ZH)
66,1,Intercoiffure Creative Hair Lounge,2018,Detailhandelsassistent/in (Garden) EBA,Wohlen AG (AG)
67,1,Hair-Boutique,2018,Detailhandelsassistent/in (Haushalt) EBA,Würenlingen (AG)
68,1,Hairstyling Glow,2018,Detailhandelsassistent/in (Kiosk) EBA,Zumikon (ZH)
69,1,Arife Tokay,2018,Detailhandelsassistent/in (Landi) EBA,Zürich (ZH)
70,1,Coiffeur Jnside Zürich,2018,Detailhandelsassistent/in (Lederwaren und Reiseartikel) EBA,Zürich (ZH)
71,1,Cosimo Coiffure,2018,Detailhandelsassistent/in (Möbel) EBA,Zürich (ZH)
72,1,Gidor Coiffure,2018,Detailhandelsassistent/in (Musikinstrumente) EBA,Zürich (ZH)
73,1,Gidor Coiffure,2018,Detailhandelsassistent/in (Nahrungs- und Genussmittel) EBA,Zürich (ZH)
