,Anzahl,Firma,Jahr,Lehrstelle,Ort
0,2,Werner Briner,2018,Abdichter/in EFZ,Aarau (AG)
1,1,Maler Schlotterbeck AG,2018,Abdichtungspraktiker/in EBA,Adligenswil (LU)
2,1,Malergeschäft Schillig,2019,Agrarpraktiker/in EBA,Altdorf UR (UR)
3,1,IBU Maler GmbH,2018,Agrarpraktiker/in (Landwirtschaft) EBA,Au SG (SG)
4,1,Bösiger Malerei AG,2019,Agrarpraktiker/in (Spezialkulturen) EBA,Baar (ZG)
5,1,Hannes Nussbaumer AG,2019,Agrarpraktiker/in (Weinbereitung) EBA,Baar (ZG)
6,1,Maler Blaser Team AG,2019,Anlagen- und Apparatebauer/in EFZ,Baar (ZG)
7,2,Schwaninger AG,2018,Anlagenführer/in EFZ,Beringen (SH)
8,2,Malerei Witschi AG,2019,Architekturmodellbauer/in EFZ,Bern (BE)
9,1,Peter Spring AG,2019,Assistent/in Gesundheit und Soziales EBA,Bern (BE)
10,1,Enrico Sansoni,2018,Augenoptiker/in EFZ,Bettlach (SO)
11,1,CAVAGLIERI SAGL,2018,Automatiker/in EFZ,Biasca (TI)
12,3,Egli AG,2019,Automatikmonteur/in EFZ,Biel/Bienne (BE)
13,1,Malpur Facility Services AG,2019,Automobil-Assistent/in EBA,Biel/Bienne (BE)
14,1,Guthauser Malergeschäft,2018,Automobil-Fachmann/-frau EFZ,Binningen (BL)
15,1,LTM Martino AG,2018,Automobil-Fachmann/-frau (Nutzfahrzeuge) EFZ,Bösingen (FR)
16,1,Micheletto Norbert,2018,Automobil-Fachmann/-frau (Personenwagen) EFZ,Brunnen (SZ)
17,2,Maurer AG,2018,Automobil-Mechatroniker/in EFZ,Buchs AG (AG)
18,1,Murri AG,2019,Automobil-Mechatroniker/in (Nutzfahrzeuge) EFZ,Burgdorf (BE)
19,1,PIEDRA PEINTURE,2018,Automobil-Mechatroniker/in (Personenwagen) EFZ,Chez-le-Bart (NE)
20,2,colorado application ag,2019,Bäcker/in-Konditor/in-Confiseur/in EBA,Chur (GR)
21,1,Lernstatt Känguruh,2019,Bäcker/in-Konditor/in-Confiseur/in EFZ,Chur (GR)
22,1,Maler Gollner Chur,2019,Bäcker/in-Konditor/in-Confiseur/in (Bäckerei-Konditorei) EFZ,Chur (GR)
23,1,Maler Walser AG,2019,Bäcker/in-Konditor/in-Confiseur/in (Konditorei-Confiserie) EFZ,Chur (GR)
24,1,Peinture Maurice De Nuzzo,2018,Baumaschinenmechaniker/in EFZ,Colombier NE (NE)
25,1,Pizzera Jean-François SA,2018,Baupraktiker/in EBA,Cortaillod (NE)
26,1,Hugo Jacobs,2019,Bauwerktrenner/in EFZ,Davos Platz (GR)
27,1,Maleratelier Cornut,2019,Bekleidungsgestalter/in EFZ,Davos Platz (GR)
28,1,Malergeschäft Bernhard AG,2018,Bekleidungsgestalter/in (Berufs- und Schutzbekleidung) EFZ,Dietlikon (ZH)
29,1,Maler Federspiel GmbH,2019,Bekleidungsgestalter/in (Damenbekleidung) EFZ,Domat/Ems (GR)
30,1,Orani Malersysteme AG,2018,Bekleidungsgestalter/in (Herrenbekleidung) EFZ,Dübendorf (ZH)
31,1,malerhandwerk keller gmbh,2018,Bekleidungsgestalter/in (Kopfbedeckung) EFZ,Eggersriet (SG)
32,1,GLB Emmental,2019,Bekleidungsgestalter/in (Pelzbekleidung) EFZ,Emmenmatt (BE)
33,1,Fundinger & Simeth AG,2018,Bekleidungsnäher/in EBA,Erlenbach ZH (ZH)
34,2,Maler Rixen AG,2019,Betonwerker/in EFZ,Erstfeld (UR)
35,1,Maler-Gipser Darms AG,2019,Boden-Parkettleger/in EFZ,Falera (GR)
36,1,Maler Haas AG,2018,Boden-Parkettleger/in (Parkett) EFZ,Felben-Wellhausen (TG)
37,1,Entreprise de peinture Buschini S.A.,2018,Boden-Parkettleger/in (Textile und elastische Beläge) EFZ,Fleurier (NE)
38,1,Hildbrand Robert AG,2018,Bootbauer/in EFZ,Gampel (VS (de))
39,1,Paul Staub,2018,Bootfachwart/in EFZ,Ganterschwil (SG)
40,1,MALER MOOR AG,2018,Buchhändler/in EFZ,Gelterkinden (BL)
41,1,Hyseni Constructions SA,2018,Büchsenmacher/in EFZ,Genf (GE)
42,1,Walpen + Werlen AG,2018,Bühnentänzer/in EFZ,Gluringen (VS (de))
43,1,Malerei & Farbenhaus,2018,Bühnentänzer/in (Klassischer Tanz) EFZ,Goldach (SG)
44,1,Malergeschäft Schmid,2018,Bühnentänzer/in (Zeitgenössischer Tanz) EFZ,Goldach (SG)
45,1,Grass Malerei AG,2018,Büroassistent/in EBA,Gossau SG (SG)
46,1,Malerei Eberhard,2018,Carrosserielackierer/in EFZ,Gossau SG (SG)
47,1,Hans Gassler AG,2018,Carrosseriespengler/in EFZ,Gretzenbach (SO)
48,2,Peter Spring AG,2019,Chemie- und Pharmapraktiker/in EBA,Gwatt (Thun) (BE)
49,1,Naturfarben-Malerei Schulz & Rotach GmbH,2018,Chemie- und Pharmatechnologe/-login EFZ,Heiden (AR)
50,1,Alder Malermeister AG,2018,Coiffeur/-euse EBA,Herisau (AR)
51,1,Malergeschäft Esposito Feudale & Coia,2018,Coiffeur/-euse EFZ,Hinwil (ZH)
52,2,Maler Huwiler AG,2019,Dachdecker/in EFZ,Hünenberg (ZG)
53,1,Tony Panitti AG,2019,Dachdeckerpraktiker/in EBA,Ittigen (BE)
54,1,Bühler AG,2018,Dekorationsnäher/in EBA,Kaltenbach (TG)
55,1,Breitenmoser AG,2018,Dentalassistent/in EFZ,Kirchberg SG (SG)
56,1,Gessner Malergeschäft,2018,Detailhandelsassistent/in EBA,Kreuzlingen (TG)
57,1,Milone Maler GmbH,2018,Detailhandelsassistent/in (Autoteile-Logistik) EBA,Kreuzlingen (TG)
58,1,Hartmann Malerei GmbH,2018,"Detailhandelsassistent/in (Bäckerei, Konditorei, Confiserie) EBA",Kriens (LU)
59,1,Rolf Schlagenhauf AG,2018,Detailhandelsassistent/in (Consumer-Electronics) EBA,Küsnacht ZH (ZH)
60,1,OK Peinture SA,2018,Detailhandelsassistent/in (Do-it-yourself) EBA,La Tour-de-Trême (FR)
61,1,Sauteur Georges SA,2018,Detailhandelsassistent/in (Eisenwaren) EBA,La Tour-de-Trême (FR)
62,1,Maleratelier Losavio,2019,Detailhandelsassistent/in (Elektrofach) EBA,Landquart (GR)
63,1,GLB Oberaargau,2019,Detailhandelsassistent/in (Farben) EBA,Langenthal (BE)
64,1,Bigler Maler und Gipser AG,2019,Detailhandelsassistent/in (Fleischwirtschaft) EBA,Langnau im Emmental (BE)
65,1,Ziörjen GmbH,2019,Detailhandelsassistent/in (Flower) EBA,Lenk im Simmental (BE)
66,1,malerhaenni.ch gmbh,2019,Detailhandelsassistent/in (Garden) EBA,Liebefeld (BE)
67,1,Castelli AG Luzern,2018,Detailhandelsassistent/in (Haushalt) EBA,Luzern (LU)
68,2,Durrer AG Luzern,2018,Detailhandelsassistent/in (Kiosk) EBA,Luzern (LU)
69,1,Maler Mathis AG,2018,Detailhandelsassistent/in (Landi) EBA,Luzern (LU)
70,2,Kiefer Roten AG,2019,Detailhandelsassistent/in (Lederwaren und Reiseartikel) EBA,Lyss (BE)
71,1,Kunz Malerei,2018,Detailhandelsassistent/in (Möbel) EBA,Mönchaltorf (ZH)
72,1,J. Fasero Sàrl,2018,Detailhandelsassistent/in (Musikinstrumente) EBA,Montreux (VD)
73,1,Malerei Lüthi GmbH,2019,Detailhandelsassistent/in (Nahrungs- und Genussmittel) EBA,Mühlethurnen (BE)
74,1,Oscar Hell AG,2018,Detailhandelsassistent/in (Öffentlicher Verkehr) EBA,Muttenz (BL)
75,1,Burgener Donat AG,2018,Detailhandelsassistent/in (Papeterie) EBA,Naters (VS (de))
76,3,Heinrich Schmid AG,2018,Detailhandelsassistent/in (Parfumerie) EBA,Neftenbach (ZH)
77,1,"Jacot Denis, peinture papiers peints",2018,Detailhandelsassistent/in (Post) EBA,Neuenburg (NE)
78,1,Urs Luginbühl,2018,Detailhandelsassistent/in (Schuhe) EBA,Neuendorf (SO)
79,1,Nigro et fils Sàrl,2018,Detailhandelsassistent/in (Spielwaren) EBA,Nyon (VD)
80,1,Pelichet - Posse SA,2018,Detailhandelsassistent/in (Sportartikel) EBA,Nyon (VD)
81,1,Malerei Sonderegger,2019,Detailhandelsassistent/in (Teppich und Bodenbeläge) EBA,Oberegg (AI)
82,1,MAMA GmbH,2018,Detailhandelsassistent/in (Textil) EBA,Oetwil am See (ZH)
83,1,Wahli + Spielmann AG,2019,"Detailhandelsassistent/in (Uhren, Schmuck, Edelsteine) EBA",Ostermundigen (BE)
84,1,Flavien Liardon Sàrl,2018,Detailhandelsassistent/in (Zoofachhandel) EBA,Pomy (VD)
85,2,LA GIOTTO SAGL,2018,"Detailhandelsfachmann/-frau EFZ, Schwerpunkt Beratung",Pregassona (TI)
