,Anzahl,Firma,Jahr,Lehrstelle,Ort
0,2,Blättler Holzbau GmbH,2018,Abdichter/in EFZ,Affeltrangen (TG)
1,1,Tscherry Holztechnik GmbH,2018,Abdichtungspraktiker/in EBA,Agarn (VS (de))
2,1,Heinz Anderegg,2018,Agrarpraktiker/in EBA,Algetshausen (SG)
3,2,Jean Cron AG,2018,Agrarpraktiker/in (Landwirtschaft) EBA,Allschwil (BL)
4,1,Keller M. Holzbau AG,2018,Agrarpraktiker/in (Spezialkulturen) EBA,Altendorf (SZ)
5,1,Gschwend + Willi AG,2018,Agrarpraktiker/in (Weinbereitung) EBA,Altstätten SG (SG)
6,1,Projer AG,2019,Anlagen- und Apparatebauer/in EFZ,Alvaschein (GR)
7,1,Holzbau P. Manser AG,2019,Anlagenführer/in EFZ,Appenzell (AI)
8,2,Holzin AG,2019,Architekturmodellbauer/in EFZ,Appenzell (AI)
9,1,Dörig & Brülisauer GmbH,2019,Assistent/in Gesundheit und Soziales EBA,Appenzell Schlatt (AI)
10,1,Fecker Holzbau,2018,Augenoptiker/in EFZ,Arbon (TG)
11,1,Koster AG,2018,Automatiker/in EFZ,Arnegg (SG)
12,1,Maillard SA,2018,Automatikmonteur/in EFZ,Asuel (JU)
13,2,Nussbaumer Holzbau AG,2019,Automobil-Assistent/in EBA,Baar (ZG)
14,1,Spaltenstein Holzbau AG,2018,Automobil-Fachmann/-frau EFZ,Bassersdorf (ZH)
15,1,A. Huser,2018,Automobil-Fachmann/-frau (Nutzfahrzeuge) EFZ,Bazenheid (SG)
16,2,VERAGOUTH SA,2018,Automobil-Fachmann/-frau (Personenwagen) EFZ,Bedano (TI)
17,1,Zürcher Holzbau Bern AG,2019,Automobil-Mechatroniker/in EFZ,Bern (BE)
18,2,LAUBE SA,2018,Automobil-Mechatroniker/in (Nutzfahrzeuge) EFZ,Biasca (TI)
19,1,Meinrad Artho,2018,Automobil-Mechatroniker/in (Personenwagen) EFZ,Bütschwil (SG)
20,1,FRATELLI COLOMBO SAGL,2018,Bäcker/in-Konditor/in-Confiseur/in EBA,Capolago (TI)
21,1,Nabibois SA,2018,Bäcker/in-Konditor/in-Confiseur/in EFZ,Charrat (VS (fr))
