,Anzahl,Firma,Jahr,Lehrstelle,Ort
0,2,Berner Fachhochschule,2019,Abdichter/in EFZ,Bern (BE)
1,5,Eidgenössisches Justiz- und Polizeidepartement,2019,Abdichtungspraktiker/in EBA,Bern (BE)
2,10,Stiftung Schulungs- und Wohnheime Rossfeld,2019,Agrarpraktiker/in EBA,Bern (BE)
3,1,Druckerei Landquart AG,2019,Agrarpraktiker/in (Landwirtschaft) EBA,Landquart (GR)
4,1,Drahtesel,2019,Agrarpraktiker/in (Spezialkulturen) EBA,Liebefeld (BE)
5,1,Dachser Spedition AG,2019,Agrarpraktiker/in (Weinbereitung) EBA,Lyss (BE)
6,1,Mitterberger,2018,Anlagen- und Apparatebauer/in EFZ,Niederglatt ZH (ZH)
7,1,Bianchi Bau AG,2019,Anlagenführer/in EFZ,Obersaxen (GR)
8,1,HELLA Storen AG,2019,Architekturmodellbauer/in EFZ,Steinhausen (ZG)
9,1,Senevita Wydenpark,2019,Assistent/in Gesundheit und Soziales EBA,Studen BE (BE)
10,1,Genossenschaft Migros Aare,2019,Augenoptiker/in EFZ,Thun (BE)
11,1,Casa Depuoz,2019,Automatiker/in EFZ,Trun (GR)
12,1,Sunshine Reisen,2018,Automatikmonteur/in EFZ,Waldstatt (AR)
13,1,Electronova-Zug.ch,2019,Automobil-Assistent/in EBA,Zug (ZG)
14,1,Christian Goldschmiede AG,2018,Automobil-Fachmann/-frau EFZ,Zürich (ZH)
15,1,Lean Personal AG,2018,Automobil-Fachmann/-frau (Nutzfahrzeuge) EFZ,Zürich (ZH)
16,1,mr. clean,2018,Automobil-Fachmann/-frau (Personenwagen) EFZ,Zürich (ZH)
17,1,Carrosserie Bossard AG,2018,Automobil-Mechatroniker/in EFZ,Aadorf (TG)
18,1,Carrosserie Lo Verde Sàrl,2018,Automobil-Mechatroniker/in (Nutzfahrzeuge) EFZ,Aclens (VD)
19,1,Amrein Autospritzwerk GmbH,2018,Automobil-Mechatroniker/in (Personenwagen) EFZ,Adligenswil (LU)
20,1,Autospritzwerk A4,2018,Bäcker/in-Konditor/in-Confiseur/in EBA,Adlikon b. Andelfingen (ZH)
21,1,Rhy-Carrosserie AG,2018,Bäcker/in-Konditor/in-Confiseur/in EFZ,Aesch BL (BL)
22,1,Carrosserie Holdener + Abschleppdienst Altendorf GmbH,2018,Bäcker/in-Konditor/in-Confiseur/in (Bäckerei-Konditorei) EFZ,Altendorf (SZ)
23,1,Auto Speedy AG,2018,Bäcker/in-Konditor/in-Confiseur/in (Konditorei-Confiserie) EFZ,Altstätten SG (SG)
24,1,Zünd MobilCenter AG,2018,Baumaschinenmechaniker/in EFZ,Altstätten SG (SG)
25,1,Carrosserie Oser AG,2018,Baupraktiker/in EBA,Arisdorf (BL)
26,1,Carrosserie Catalano,2018,Bauwerktrenner/in EFZ,Au SG (SG)
27,1,Ausee Garage AG,2018,Bekleidungsgestalter/in EFZ,Au ZH (ZH)
28,1,Touring Garage Rutsch AG,2019,Bekleidungsgestalter/in (Berufs- und Schutzbekleidung) EFZ,Bern (BE)
