,Anzahl,Firma,Jahr,Lehrstelle,Ort
0,2,Post CH AG,2019,Abdichter/in EFZ,Altdorf UR (UR)
1,5,Post CH AG,2019,Abdichtungspraktiker/in EBA,Bern (BE)
2,2,Post CH AG,2019,Agrarpraktiker/in EBA,Biel/Bienne (BE)
3,4,Poste CH SA,2018,Agrarpraktiker/in (Landwirtschaft) EBA,Bulle (FR)
4,3,Post CH AG,2019,Agrarpraktiker/in (Spezialkulturen) EBA,Burgdorf (BE)
5,2,Post CH AG,2019,Agrarpraktiker/in (Weinbereitung) EBA,Chur (GR)
6,7,Poste CH SA,2018,Anlagen- und Apparatebauer/in EFZ,Genf (GE)
7,3,Poste CH,2018,Anlagenführer/in EFZ,Gland (VD)
8,3,Post CH AG,2018,Architekturmodellbauer/in EFZ,Herisau (AR)
9,2,Post CH AG,2019,Assistent/in Gesundheit und Soziales EBA,Interlaken (BE)
10,6,Post CH AG,2019,Augenoptiker/in EFZ,Landquart (GR)
11,2,Post CH AG,2019,Automatiker/in EFZ,Langnau im Emmental (BE)
12,3,Post CH AG,2019,Automatikmonteur/in EFZ,Lyss (BE)
13,2,Poste CH SA,2018,Automobil-Assistent/in EBA,Martigny (VS (fr))
14,2,Post CH AG,2019,Automobil-Fachmann/-frau EFZ,Münsingen (BE)
15,5,Post CH AG,2019,Automobil-Fachmann/-frau (Nutzfahrzeuge) EFZ,Ostermundigen (BE)
16,1,Post CH AG,2019,Automobil-Fachmann/-frau (Personenwagen) EFZ,Samedan (GR)
17,3,Poste CH SA,2018,Automobil-Mechatroniker/in EFZ,Sitten (VS (fr))
18,7,Post CH AG,2019,Automobil-Mechatroniker/in (Nutzfahrzeuge) EFZ,Thun (BE)
19,1,Post CH AG,2019,Automobil-Mechatroniker/in (Personenwagen) EFZ,Thusis (GR)
20,7,Post CH AG,2019,Bäcker/in-Konditor/in-Confiseur/in EBA,Zug (ZG)
21,1,W. Althaus AG,2019,Bäcker/in-Konditor/in-Confiseur/in EFZ,Aarwangen (BE)
22,1,Simex Trading AG,2019,Bäcker/in-Konditor/in-Confiseur/in (Bäckerei-Konditorei) EFZ,Appenzell (AI)
23,1,Asetronics AG,2019,Bäcker/in-Konditor/in-Confiseur/in (Konditorei-Confiserie) EFZ,Bern (BE)
24,2,Bundesamt für Bauten und Logistik,2019,Baumaschinenmechaniker/in EFZ,Bern (BE)
25,1,Coop Verteilzentrale,2019,Baupraktiker/in EBA,Bern (BE)
26,1,EMCH Aufzüge AG,2019,Bauwerktrenner/in EFZ,Bern (BE)
27,1,login Berufsbildung AG,2019,Bekleidungsgestalter/in EFZ,Bern (BE)
28,1,Stämpfli AG,2019,Bekleidungsgestalter/in (Berufs- und Schutzbekleidung) EFZ,Bern (BE)
29,1,Vintage Textile GmbH,2019,Bekleidungsgestalter/in (Damenbekleidung) EFZ,Bern (BE)
30,2,CSL Behring AG,2019,Bekleidungsgestalter/in (Herrenbekleidung) EFZ,Bern 22 (BE)
31,1,Sieber Transport AG,2018,Bekleidungsgestalter/in (Kopfbedeckung) EFZ,Berneck (SG)
32,1,Amsonic AG,2019,Bekleidungsgestalter/in (Pelzbekleidung) EFZ,Biel/Bienne (BE)
33,1,Standard AG,2018,Bekleidungsnäher/in EBA,Birsfelden (BL)
34,1,Daetwyler Management AG,2019,Betonwerker/in EFZ,Bleienbach (BE)
35,1,Jumi AG,2019,Boden-Parkettleger/in EFZ,Boll (BE)
36,1,IBA,2019,Boden-Parkettleger/in (Parkett) EFZ,Bolligen (BE)
37,1,Hamilton Bonaduz AG,2019,Boden-Parkettleger/in (Textile und elastische Beläge) EFZ,Bonaduz (GR)
38,1,A+E Bäckerei-Kälte AG,2018,Bootbauer/in EFZ,Buchs AG (AG)
39,2,Fiege Logistik (Schweiz) AG,2018,Bootfachwart/in EFZ,Bülach (ZH)
40,1,Aebi & Co. AG,2019,Buchhändler/in EFZ,Burgdorf (BE)
41,2,ESA,2019,Büchsenmacher/in EFZ,Burgdorf (BE)
42,1,Hermann Dür A.G.,2019,Bühnentänzer/in EFZ,Burgdorf (BE)
43,1,LSB AG,2019,Bühnentänzer/in (Klassischer Tanz) EFZ,Burgdorf (BE)
44,1,RONDO Burgdorf AG,2019,Bühnentänzer/in (Zeitgenössischer Tanz) EFZ,Burgdorf (BE)
45,1,Simon Keller AG,2019,Büroassistent/in EBA,Burgdorf (BE)
46,2,Ypsomed AG,2019,Carrosserielackierer/in EFZ,Burgdorf (BE)
47,1,Ernst Böhlen Logistik AG,2019,Carrosseriespengler/in EFZ,Bützberg (BE)
48,1,Baubedarf Richner BR,2019,Chemie- und Pharmapraktiker/in EBA,Cham (ZG)
49,1,Barit Baubedarf AG,2019,Chemie- und Pharmatechnologe/-login EFZ,Chur (GR)
50,1,Coop LRE OT Support VZ,2019,Coiffeur/-euse EBA,Chur (GR)
