,Anzahl,Firma,Jahr,Lehrstelle,Ort
0,2,Nestlé Suisse SA,2018,Abdichter/in EFZ,Broc (FR)
1,2,Haco AG,2019,Abdichtungspraktiker/in EBA,Gümligen (BE)
2,1,Wander AG,2019,Agrarpraktiker/in EBA,Neuenegg (BE)
3,2,Post CH AG,2019,Agrarpraktiker/in (Landwirtschaft) EBA,Altdorf UR (UR)
4,5,Post CH AG,2019,Agrarpraktiker/in (Spezialkulturen) EBA,Bern (BE)
5,2,Post CH AG,2019,Agrarpraktiker/in (Weinbereitung) EBA,Biel/Bienne (BE)
6,4,Poste CH SA,2018,Anlagen- und Apparatebauer/in EFZ,Bulle (FR)
7,3,Post CH AG,2019,Anlagenführer/in EFZ,Burgdorf (BE)
8,2,Post CH AG,2019,Architekturmodellbauer/in EFZ,Chur (GR)
9,7,Poste CH SA,2018,Assistent/in Gesundheit und Soziales EBA,Genf (GE)
10,3,Poste CH,2018,Augenoptiker/in EFZ,Gland (VD)
11,3,Post CH AG,2018,Automatiker/in EFZ,Herisau (AR)
12,2,Post CH AG,2019,Automatikmonteur/in EFZ,Interlaken (BE)
13,6,Post CH AG,2019,Automobil-Assistent/in EBA,Landquart (GR)
14,2,Post CH AG,2019,Automobil-Fachmann/-frau EFZ,Langnau im Emmental (BE)
15,3,Post CH AG,2019,Automobil-Fachmann/-frau (Nutzfahrzeuge) EFZ,Lyss (BE)
16,2,Poste CH SA,2018,Automobil-Fachmann/-frau (Personenwagen) EFZ,Martigny (VS (fr))
17,2,Post CH AG,2019,Automobil-Mechatroniker/in EFZ,Münsingen (BE)
18,5,Post CH AG,2019,Automobil-Mechatroniker/in (Nutzfahrzeuge) EFZ,Ostermundigen (BE)
19,1,Post CH AG,2019,Automobil-Mechatroniker/in (Personenwagen) EFZ,Samedan (GR)
20,3,Poste CH SA,2018,Bäcker/in-Konditor/in-Confiseur/in EBA,Sitten (VS (fr))
21,7,Post CH AG,2019,Bäcker/in-Konditor/in-Confiseur/in EFZ,Thun (BE)
22,1,Post CH AG,2019,Bäcker/in-Konditor/in-Confiseur/in (Bäckerei-Konditorei) EFZ,Thusis (GR)
23,7,Post CH AG,2019,Bäcker/in-Konditor/in-Confiseur/in (Konditorei-Confiserie) EFZ,Zug (ZG)
24,1,W. Althaus AG,2019,Baumaschinenmechaniker/in EFZ,Aarwangen (BE)
25,1,Simex Trading AG,2019,Baupraktiker/in EBA,Appenzell (AI)
26,1,Asetronics AG,2019,Bauwerktrenner/in EFZ,Bern (BE)
27,2,Bundesamt für Bauten und Logistik,2019,Bekleidungsgestalter/in EFZ,Bern (BE)
28,1,Coop Verteilzentrale,2019,Bekleidungsgestalter/in (Berufs- und Schutzbekleidung) EFZ,Bern (BE)
29,1,EMCH Aufzüge AG,2019,Bekleidungsgestalter/in (Damenbekleidung) EFZ,Bern (BE)
30,1,login Berufsbildung AG,2019,Bekleidungsgestalter/in (Herrenbekleidung) EFZ,Bern (BE)
31,1,Stämpfli AG,2019,Bekleidungsgestalter/in (Kopfbedeckung) EFZ,Bern (BE)
32,1,Vintage Textile GmbH,2019,Bekleidungsgestalter/in (Pelzbekleidung) EFZ,Bern (BE)
33,2,CSL Behring AG,2019,Bekleidungsnäher/in EBA,Bern 22 (BE)
34,1,Sieber Transport AG,2018,Betonwerker/in EFZ,Berneck (SG)
35,1,Amsonic AG,2019,Boden-Parkettleger/in EFZ,Biel/Bienne (BE)
36,1,Standard AG,2018,Boden-Parkettleger/in (Parkett) EFZ,Birsfelden (BL)
37,1,Daetwyler Management AG,2019,Boden-Parkettleger/in (Textile und elastische Beläge) EFZ,Bleienbach (BE)
38,1,Jumi AG,2019,Bootbauer/in EFZ,Boll (BE)
39,1,IBA,2019,Bootfachwart/in EFZ,Bolligen (BE)
40,1,Hamilton Bonaduz AG,2019,Buchhändler/in EFZ,Bonaduz (GR)
41,1,A+E Bäckerei-Kälte AG,2018,Büchsenmacher/in EFZ,Buchs AG (AG)
42,2,Fiege Logistik (Schweiz) AG,2018,Bühnentänzer/in EFZ,Bülach (ZH)
43,1,Aebi & Co. AG,2019,Bühnentänzer/in (Klassischer Tanz) EFZ,Burgdorf (BE)
44,2,ESA,2019,Bühnentänzer/in (Zeitgenössischer Tanz) EFZ,Burgdorf (BE)
45,1,Hermann Dür A.G.,2019,Büroassistent/in EBA,Burgdorf (BE)
46,1,LSB AG,2019,Carrosserielackierer/in EFZ,Burgdorf (BE)
