,Anzahl,Firma,Jahr,Lehrstelle,Ort
0,1,Franke Schweiz AG,2018,Abdichter/in EFZ,Aarburg (AG)
1,1,Dyno AG,2019,Abdichtungspraktiker/in EBA,Aefligen (BE)
2,1,Baier Rohrleitungsbau AG,2018,Agrarpraktiker/in EBA,Aesch BL (BL)
3,1,Schmidlin AG,2018,Agrarpraktiker/in (Landwirtschaft) EBA,Affoltern am Albis (ZH)
4,10,Morath AG,2018,Agrarpraktiker/in (Spezialkulturen) EBA,Allschwil (BL)
5,1,FITECH AG,2018,Agrarpraktiker/in (Weinbereitung) EBA,Amriswil (TG)
6,1,zweifel metall ag,2018,Anlagen- und Apparatebauer/in EFZ,Amriswil (TG)
7,1,Leutenegger + Frei AG,2018,Anlagenführer/in EFZ,Andwil SG (SG)
8,2,Bühler AG,2019,Architekturmodellbauer/in EFZ,Appenzell (AI)
9,1,Hungerbühler GmbH,2018,Assistent/in Gesundheit und Soziales EBA,Arnegg (SG)
10,1,Morewa AG,2018,Augenoptiker/in EFZ,Auenstein (AG)
11,1,KESMON MECCANICA SA,2018,Automatiker/in EFZ,Barbengo (TI)
12,1,CBRE GWS GmbH,2018,Automatikmonteur/in EFZ,Basel (BS)
13,1,EMCH Aufzüge AG,2019,Automobil-Assistent/in EBA,Bern (BE)
14,1,Jörimann Stahl AG,2019,Automobil-Fachmann/-frau EFZ,Bonaduz (GR)
15,1,Schlosserei Otto Jäggi-Jäggi,2018,Automobil-Fachmann/-frau (Nutzfahrzeuge) EFZ,Boningen (SO)
16,1,Wirth + Co. AG,2018,Automobil-Fachmann/-frau (Personenwagen) EFZ,Buchrain (LU)
17,1,TIG SA Tôlerie Industrielle de la Gruyère,2018,Automobil-Mechatroniker/in EFZ,Bulle (FR)
18,1,RONDO Burgdorf AG,2019,Automobil-Mechatroniker/in (Nutzfahrzeuge) EFZ,Burgdorf (BE)
19,1,Toscano Stahlbau AG,2019,Automobil-Mechatroniker/in (Personenwagen) EFZ,Cazis (GR)
20,1,Ginox SA,2018,Bäcker/in-Konditor/in-Confiseur/in EBA,Chailly-Montreux (VD)
21,1,alig grossküchen ag,2019,Bäcker/in-Konditor/in-Confiseur/in EFZ,Chur (GR)
22,1,Nexans Suisse SA,2018,Bäcker/in-Konditor/in-Confiseur/in (Bäckerei-Konditorei) EFZ,Cortaillod (NE)
23,1,Auprès d'une entreprise partenaire du REN,2018,Bäcker/in-Konditor/in-Confiseur/in (Konditorei-Confiserie) EFZ,Cressier NE (NE)
24,1,Matisa Matériel Industriel SA,2018,Baumaschinenmechaniker/in EFZ,Crissier (VD)
25,1,Blechtech AG,2018,Baupraktiker/in EBA,Dachsen (ZH)
26,2,EMS-CHEMIE AG,2019,Bauwerktrenner/in EFZ,Domat/Ems (GR)
27,1,Romag Aquacare AG,2018,Bekleidungsgestalter/in EFZ,Düdingen (FR)
28,1,ECE GmbH,2018,Bekleidungsgestalter/in (Berufs- und Schutzbekleidung) EFZ,Dulliken (SO)
29,1,Holcim (Suisse) SA,2018,Bekleidungsgestalter/in (Damenbekleidung) EFZ,Eclépens (VD)
30,1,Zaugg AG Eggiwil,2019,Bekleidungsgestalter/in (Herrenbekleidung) EFZ,Eggiwil (BE)
31,2,Schindler Aufzüge AG,2018,Bekleidungsgestalter/in (Kopfbedeckung) EFZ,Embrach (ZH)
32,2,TM Metalltechnik AG,2018,Bekleidungsgestalter/in (Pelzbekleidung) EFZ,Emmen (LU)
33,1,Hans Eberle AG,2018,Bekleidungsnäher/in EBA,Ennenda (GL)
34,1,Otto Lang AG,2018,Betonwerker/in EFZ,Ermensee (LU)
35,1,Z Montagen,2019,Boden-Parkettleger/in EFZ,Felsberg (GR)
36,1,Swibox AG,2018,Boden-Parkettleger/in (Parkett) EFZ,Flamatt (FR)
37,1,Koller + Morger AG,2018,Boden-Parkettleger/in (Textile und elastische Beläge) EFZ,Flawil (SG)
38,1,Bartholet,2018,Bootbauer/in EFZ,Flums (SG)
39,1,Letrona AG,2018,Bootfachwart/in EFZ,Friltschen (TG)
40,2,Stephan SA,2018,Buchhändler/in EFZ,Givisiez (FR)
41,1,Techniques Laser SA,2018,Büchsenmacher/in EFZ,Goumoens-la-Ville (VD)
