,Anzahl,Firma,Jahr,Lehrstelle,Ort
0,1,Sun Chemical AG,2019,Abdichter/in EFZ,Niederwangen b. Bern (BE)
1,1,Berlac AG,2018,Abdichtungspraktiker/in EBA,Sissach (BL)
2,1,Arcolor AG,2018,Agrarpraktiker/in EBA,Waldstatt (AR)
3,1,Cilander AG,2018,Agrarpraktiker/in (Landwirtschaft) EBA,Herisau (AR)
4,1,J. Kaufmann AG,2018,Agrarpraktiker/in (Spezialkulturen) EBA,Ebikon (LU)
5,1,Harder Autolackierungen,2018,Agrarpraktiker/in (Weinbereitung) EBA,Eglisau (ZH)
6,1,Carrosserie Cico AG,2018,Anlagen- und Apparatebauer/in EFZ,Gamsen (VS (de))
7,1,Garage Carrosserie Centra AG,2018,Anlagenführer/in EFZ,Gamsen (VS (de))
8,1,Carrosserie Pfister AG,2018,Architekturmodellbauer/in EFZ,Herisau (AR)
9,1,Albi Carrosserie und Spritzwerk Nikaj,2018,Assistent/in Gesundheit und Soziales EBA,Luzern (LU)
10,1,Carrosserie Pius Wermelinger GmbH,2018,Augenoptiker/in EFZ,Luzern (LU)
11,1,MdS Tuning GmbH,2018,Automatiker/in EFZ,Näfels (GL)
12,1,Vonarburg Spritzwerk GmbH,2018,Automatikmonteur/in EFZ,Neuhausen am Rheinfall (SH)
13,1,Autocenter Fatjani AG,2019,Automobil-Assistent/in EBA,Niederbipp (BE)
14,1,Dejan AG,2018,Automobil-Fachmann/-frau EFZ,Schlieren (ZH)
15,1,Cartec Carrosserie-Technik AG,2019,Automobil-Fachmann/-frau (Nutzfahrzeuge) EFZ,Studen BE (BE)
16,1,Autospritzwerk & Carrosserie Reino,2018,Automobil-Fachmann/-frau (Personenwagen) EFZ,Visp (VS (de))
17,1,Spritzwerk Kurtisi AG,2018,Automobil-Mechatroniker/in EFZ,Wilen b. Wil (TG)
18,1,Carrosserie Plankl AG,2018,Automobil-Mechatroniker/in (Nutzfahrzeuge) EFZ,Wittenbach (SG)
19,1,GALVASWISS AG,2018,Automobil-Mechatroniker/in (Personenwagen) EFZ,Felben-Wellhausen (TG)
20,1,Burkolter Korrosionsschutz,2018,Bäcker/in-Konditor/in-Confiseur/in EBA,Hefenhofen (TG)
21,1,Cartec Carrosserie-Technik AG,2019,Bäcker/in-Konditor/in-Confiseur/in EFZ,Studen BE (BE)
