,Anzahl,Firma,Jahr,Lehrstelle,Ort
0,1,Intertime AG,2018,Abdichter/in EFZ,Endingen (AG)
1,1,Strässle Switzerland AG,2018,Abdichtungspraktiker/in EBA,Wigoltingen (TG)
2,1,Coop Genossenschaft,2018,Agrarpraktiker/in EBA,Basel (BS)
3,4,Bedag Informatik AG,2019,Agrarpraktiker/in (Landwirtschaft) EBA,Bern (BE)
4,6,BiCT AG,2019,Agrarpraktiker/in (Spezialkulturen) EBA,Bern (BE)
5,2,BKW Energie AG,2019,Agrarpraktiker/in (Weinbereitung) EBA,Bern (BE)
6,6,Bundesamt für Informatik und Telekommunikation,2019,Anlagen- und Apparatebauer/in EFZ,Bern (BE)
7,3,ICT Berufsbildungscenter AG,2019,Anlagenführer/in EFZ,Bern (BE)
8,1,login Berufsbildung AG,2019,Architekturmodellbauer/in EFZ,Bern (BE)
9,1,mcs software ag,2019,Assistent/in Gesundheit und Soziales EBA,Bern (BE)
10,1,Unic AG,2019,Augenoptiker/in EFZ,Bern (BE)
11,1,"VBS, Führungsunterstützungsbasis FUB",2019,Automatiker/in EFZ,Bern (BE)
12,25,Computerschule Bern AG,2019,Automatikmonteur/in EFZ,Bern 14 (BE)
13,2,DV Bern AG,2019,Automobil-Assistent/in EBA,Bern 22 (BE)
14,1,Geocom Informatik AG,2019,Automobil-Fachmann/-frau EFZ,Burgdorf (BE)
15,1,Intersim AG,2019,Automobil-Fachmann/-frau (Nutzfahrzeuge) EFZ,Burgdorf (BE)
16,1,EROWA AG,2018,Automobil-Fachmann/-frau (Personenwagen) EFZ,Büron (LU)
17,1,Expersoft Systems AG,2019,Automobil-Mechatroniker/in EFZ,Cham (ZG)
18,1,Pädagogische Hochschule Graubünden,2019,Automobil-Mechatroniker/in (Nutzfahrzeuge) EFZ,Chur (GR)
19,1,Swisscom AG,2019,Automobil-Mechatroniker/in (Personenwagen) EFZ,Chur (GR)
20,1,ArcFlow AG,2018,Bäcker/in-Konditor/in-Confiseur/in EBA,Däniken SO (SO)
21,1,TRUMPF Schweiz AG,2019,Bäcker/in-Konditor/in-Confiseur/in EFZ,Grüsch (GR)
22,2,ADVIS AG,2019,Bäcker/in-Konditor/in-Confiseur/in (Bäckerei-Konditorei) EFZ,Gümligen (BE)
23,1,clavis IT ag,2018,Bäcker/in-Konditor/in-Confiseur/in (Konditorei-Confiserie) EFZ,Herisau (AR)
24,1,Winoffice AG,2019,Baumaschinenmechaniker/in EFZ,Hünenberg (ZG)
25,1,azm Ausbildungszentrum Mittelland,2019,Baupraktiker/in EBA,Langenthal (BE)
26,1,ComputerWorks AG,2018,Bauwerktrenner/in EFZ,Münchenstein (BL)
27,1,hellcom h.f.y. computer,2018,Bekleidungsgestalter/in EFZ,Neuenkirch (LU)
28,1,Bystronic Laser AG,2019,Bekleidungsgestalter/in (Berufs- und Schutzbekleidung) EFZ,Niederönz (BE)
29,1,Inova Solutions AG,2019,Bekleidungsgestalter/in (Damenbekleidung) EFZ,Ostermundigen (BE)
30,1,Ziemer Ophthalmic Systems AG,2019,Bekleidungsgestalter/in (Herrenbekleidung) EFZ,Port (BE)
31,12,Roche Diagnostics International AG,2019,Bekleidungsgestalter/in (Kopfbedeckung) EFZ,Rotkreuz (ZG)
32,1,Kaformatik AG,2019,Bekleidungsgestalter/in (Pelzbekleidung) EFZ,Spiez (BE)
33,1,MFGroup AG,2018,Bekleidungsnäher/in EBA,St. Gallen (SG)
34,1,Besi Switzerland AG,2019,Betonwerker/in EFZ,Steinhausen (ZG)
35,1,Siemens Schweiz AG,2019,Boden-Parkettleger/in EFZ,Steinhausen (ZG)
36,1,AGIS AG,2018,Boden-Parkettleger/in (Parkett) EFZ,Teufen AR (AR)
37,1,armasuisse,2019,Boden-Parkettleger/in (Textile und elastische Beläge) EFZ,Thun (BE)
38,1,Comvation AG,2019,Bootbauer/in EFZ,Thun (BE)
39,1,RUAG Schweiz AG,2019,Bootfachwart/in EFZ,Wilderswil (BE)
40,6,Noser Young Professionals AG,2019,Buchhändler/in EFZ,Worblaufen (BE)
41,1,Securiton AG,2019,Büchsenmacher/in EFZ,Zollikofen (BE)
42,1,Xovis AG,2019,Bühnentänzer/in EFZ,Zollikofen (BE)
43,8,Siemens Schweiz AG,2019,Bühnentänzer/in (Klassischer Tanz) EFZ,Zug (ZG)
44,1,V-ZUG AG,2019,Bühnentänzer/in (Zeitgenössischer Tanz) EFZ,Zug (ZG)
