,Anzahl,Firma,Jahr,Lehrstelle,Ort
0,1,Tozzo AG BS,2018,Abdichter/in EFZ,Basel (BS)
1,1,Toneatti AG,2018,Abdichtungspraktiker/in EBA,Bilten (GL)
2,1,W. Kressig AG,2018,Agrarpraktiker/in EBA,Buchs SG (SG)
3,2,P. Imperiali & Cie AG,2019,Agrarpraktiker/in (Landwirtschaft) EBA,Büren an der Aare (BE)
4,1,Giudicetti SA,2019,Agrarpraktiker/in (Spezialkulturen) EBA,Cama (GR)
5,1,KIBAG Bauleistungen AG,2019,Agrarpraktiker/in (Weinbereitung) EBA,Chur (GR)
6,1,Walo Bertschinger AG,2019,Anlagen- und Apparatebauer/in EFZ,Chur (GR)
7,1,Mettler Prader AG,2019,Anlagenführer/in EFZ,Davos Platz (GR)
8,1,Marti AG Bern,2019,Architekturmodellbauer/in EFZ,Moosseedorf (BE)
9,1,Tiefbau Stettler AG,2018,Assistent/in Gesundheit und Soziales EBA,Neuhausen am Rheinfall (SH)
10,1,Hörler Tiefbau AG,2018,Augenoptiker/in EFZ,Niederteufen (AR)
11,1,wsb AG,2018,Automatiker/in EFZ,Rafz (ZH)
12,1,Preisig AG,2018,Automatikmonteur/in EFZ,Teufen AR (AR)
13,1,A. Käppeli's Söhne AG,2019,Automobil-Assistent/in EBA,Trimmis (GR)
14,1,Roland Hörler AG,2019,Automobil-Fachmann/-frau EFZ,Wasserauen (AI)
15,1,Wistrag,2018,Automobil-Fachmann/-frau (Nutzfahrzeuge) EFZ,Winterthur (ZH)
16,1,Gebr. Huber AG,2018,Automobil-Fachmann/-frau (Personenwagen) EFZ,Wöschnau (SO)
17,3,Galliker Transport AG,2018,Automobil-Mechatroniker/in EFZ,Altishofen (LU)
18,1,Steinauer AG,2018,Automobil-Mechatroniker/in (Nutzfahrzeuge) EFZ,Bennau (SZ)
19,2,Coop Verteilzentrale,2019,Automobil-Mechatroniker/in (Personenwagen) EFZ,Bern (BE)
20,1,Waser Transport AG,2018,Bäcker/in-Konditor/in-Confiseur/in EBA,Birsfelden (BL)
21,1,tz AG,2018,Bäcker/in-Konditor/in-Confiseur/in EFZ,Buchs SG (SG)
22,2,Müller Transport AG,2018,Bäcker/in-Konditor/in-Confiseur/in (Bäckerei-Konditorei) EFZ,Dietikon (ZH)
23,1,Papyrus Schweiz AG,2018,Bäcker/in-Konditor/in-Confiseur/in (Konditorei-Confiserie) EFZ,Dintikon (AG)
24,1,Gebr. Kuoni Transport AG,2019,Baumaschinenmechaniker/in EFZ,Domat/Ems (GR)
25,1,Nicca AG,2019,Baupraktiker/in EBA,Donat (GR)
26,1,Düring AG Ebikon,2018,Bauwerktrenner/in EFZ,Ebikon (LU)
27,1,Brunner Umweltservice AG,2018,Bekleidungsgestalter/in EFZ,Flawil (SG)
