,Anzahl,Firma,Jahr,Lehrstelle,Ort
0,1,Café-Konditorei Rüedi AG,2018,Abdichter/in EFZ,Aadorf (TG)
1,1,Bäckerei-Konditorei Graber,2019,Abdichtungspraktiker/in EBA,Aeschi b. Spiez (BE)
2,1,Feinbäckerei Hauger AG,2019,Agrarpraktiker/in EBA,Altdorf UR (UR)
3,1,Lehn-Beck AG,2019,Agrarpraktiker/in (Landwirtschaft) EBA,Altdorf UR (UR)
4,1,M. und S. Hautle,2018,Agrarpraktiker/in (Spezialkulturen) EBA,Altstätten SG (SG)
5,1,Bäckerei-Konditorei Schäfli,2019,Agrarpraktiker/in (Weinbereitung) EBA,Appenzell Steinegg (AI)
6,2,Archer Beck AG,2019,Anlagen- und Apparatebauer/in EFZ,Arch (BE)
7,1,Bäckerei Gaugler AG,2018,Anlagenführer/in EFZ,Augst BL (BL)
8,1,Bäckerei Hotz Rust AG,2019,Architekturmodellbauer/in EFZ,Baar (ZG)
9,1,LebensART Bärau,2019,Assistent/in Gesundheit und Soziales EBA,Bärau (BE)
10,2,Genossenschaft Migros Basel,2018,Augenoptiker/in EFZ,Basel (BS)
11,1,Bäckerei Bohnenblust AG,2019,Automatiker/in EFZ,Bern (BE)
12,1,Bäckerei Lanz AG,2019,Automatikmonteur/in EFZ,Bern (BE)
13,1,Insel Gruppe AG,2019,Automobil-Assistent/in EBA,Bern (BE)
14,1,Storchenbäckerei,2019,Automobil-Fachmann/-frau EFZ,Bern (BE)
15,1,Kilian Fischer,2018,Automobil-Fachmann/-frau (Nutzfahrzeuge) EFZ,Beromünster (LU)
16,1,Feinbäckerei Weber AG,2018,Automobil-Fachmann/-frau (Personenwagen) EFZ,Birsfelden (BL)
17,1,Reinhard AG,2019,Automobil-Mechatroniker/in EFZ,Bolligen (BE)
18,1,Café Streuli GmbH,2018,Automobil-Mechatroniker/in (Nutzfahrzeuge) EFZ,Bottmingen (BL)
19,2,Macchi AG,2018,Automobil-Mechatroniker/in (Personenwagen) EFZ,Buchrain (LU)
20,1,Monsieur Blanc Sàrl,2018,Bäcker/in-Konditor/in-Confiseur/in EBA,Bulle 2 (FR)
21,1,Boulangerie-Pâtisserie Wolfisberg SA,2018,Bäcker/in-Konditor/in-Confiseur/in EFZ,Carouge GE (GE)
22,1,Bäckerei Nussbaumer AG,2019,Bäcker/in-Konditor/in-Confiseur/in (Bäckerei-Konditorei) EFZ,Cham (ZG)
23,1,von Rotz GmbH,2019,Bäcker/in-Konditor/in-Confiseur/in (Konditorei-Confiserie) EFZ,Cham (ZG)
24,3,Merz Fertigungs AG,2019,Baumaschinenmechaniker/in EFZ,Chur (GR)
25,1,Boulangerie du Village,2018,Baupraktiker/in EBA,Colombier VD (VD)
26,1,Boulangerie Bigler Yanick,2018,Bauwerktrenner/in EFZ,Combremont-le-Grand (VD)
27,1,Boulangerie Chez Salva,2018,Bekleidungsgestalter/in EFZ,Courtételle (JU)
28,2,Brot vom Held GmbH,2018,Bekleidungsgestalter/in (Berufs- und Schutzbekleidung) EFZ,Dachsen (ZH)
29,1,Bäckerei-Konditorei Café Weber AG,2019,Bekleidungsgestalter/in (Damenbekleidung) EFZ,Davos Dorf (GR)
30,1,Bruno Bächtiger-Artho,2018,Bekleidungsgestalter/in (Herrenbekleidung) EFZ,Ermenswil (SG)
31,1,Bäckerei Christoph Schneider,2018,Bekleidungsgestalter/in (Kopfbedeckung) EFZ,Flaach (ZH)
32,1,Feinbäckerei-Confiserie Moser,2019,Bekleidungsgestalter/in (Pelzbekleidung) EFZ,Fraubrunnen (BE)
33,1,Bäckerei-Konditorei Waeber GmbH,2018,Bekleidungsnäher/in EBA,Freiburg 7 (FR)
34,1,Pastizaria Cantieni,2019,Betonwerker/in EFZ,Ftan (GR)
35,1,Konsumgenossenschaft,2018,Boden-Parkettleger/in EFZ,Gams (SG)
36,1,Beerle Bäckerei-Conditorei-Confiserie,2018,Boden-Parkettleger/in (Parkett) EFZ,Goldach (SG)
37,1,Motzer Bäckerei Gonten AG,2019,Boden-Parkettleger/in (Textile und elastische Beläge) EFZ,Gonten (AI)
38,1,Back-Caffee AG,2018,Bootbauer/in EFZ,Grenchen (SO)
39,1,Peter Linder,2019,Bootfachwart/in EFZ,Gwatt (Thun) (BE)
40,1,Bäckerei Häfeli AG,2018,Buchhändler/in EFZ,Hallau (SH)
41,1,Boulangerie du Village,2018,Büchsenmacher/in EFZ,Haute-Nendaz (VS (fr))
42,1,BKC Schläpfer,2018,Bühnentänzer/in EFZ,Herisau (AR)
43,1,Bäckerei Bartlome,2019,Bühnentänzer/in (Klassischer Tanz) EFZ,Hindelbank (BE)
44,1,Bäckerei-Confiserie Koch AG,2018,Bühnentänzer/in (Zeitgenössischer Tanz) EFZ,Hochdorf (LU)
45,1,Erich Schnyder,2018,Büroassistent/in EBA,Horgen (ZH)
46,1,Bäckerei-Konditorei Oertle,2018,Carrosserielackierer/in EFZ,Hundwil (AR)
47,1,Bäckerei-Konditorei-Lebensmittel Hp. Birrer,2019,Carrosseriespengler/in EFZ,Huttwil (BE)
48,1,Bäckerei-Konditorei Nüssli,2018,Chemie- und Pharmapraktiker/in EBA,Illnau (ZH)
49,1,Räber,2018,Chemie- und Pharmatechnologe/-login EFZ,Jona (SG)
50,1,Bäckerei-Konditorei Bürgin GmbH,2018,Coiffeur/-euse EBA,Kreuzlingen (TG)
51,2,Beck Hitz AG,2019,Coiffeur/-euse EFZ,Küblis (GR)
52,1,Bäckerei-Konditorei & Café Vogel GmbH,2018,Dachdecker/in EFZ,Küssnacht am Rigi (SZ)
53,1,Boulangerie Au Croissant d'Or,2018,Dachdeckerpraktiker/in EBA,La Tour-de-Trême (FR)
54,1,Ziegler Bäckerei-Conditorei AG,2019,Dekorationsnäher/in EBA,Landquart (GR)
55,2,Bäckerei-Konditorei-Confiserie,2019,Dentalassistent/in EFZ,Lenk im Simmental (BE)
56,2,Sunnis AG,2018,Detailhandelsassistent/in EBA,Lungern (OW)
57,1,Bäckerei Konditorei Café,2018,Detailhandelsassistent/in (Autoteile-Logistik) EBA,Luzern (LU)
58,1,Confiseur Bachmann AG,2018,"Detailhandelsassistent/in (Bäckerei, Konditorei, Confiserie) EBA",Luzern (LU)
59,1,Heini Conditorei AG,2018,Detailhandelsassistent/in (Consumer-Electronics) EBA,Luzern (LU)
60,1,Gasser André,2018,Detailhandelsassistent/in (Do-it-yourself) EBA,Malters (LU)
61,1,Bäckerei-Konditorei Gut,2018,Detailhandelsassistent/in (Eisenwaren) EBA,Marthalen (ZH)
62,1,Moser Peter,2018,Detailhandelsassistent/in (Elektrofach) EBA,Messen (SO)
63,1,Konditorei Buchmann AG,2018,Detailhandelsassistent/in (Farben) EBA,Münchenstein (BL)
64,1,Schloss-Beck GmbH,2019,Detailhandelsassistent/in (Fleischwirtschaft) EBA,Nidau (BE)
65,1,miin Beck Sonja Müller,2018,Detailhandelsassistent/in (Flower) EBA,Niederhelfenschwil (SG)
66,1,Beck Studer GmbH,2018,Detailhandelsassistent/in (Garden) EBA,Niederurnen (GL)
67,1,Bäckerei-Konditorei,2018,Detailhandelsassistent/in (Haushalt) EBA,Nottwil (LU)
68,1,GANT SA,2018,Detailhandelsassistent/in (Kiosk) EBA,Novazzano (TI)
69,2,kreativ beck ag,2019,Detailhandelsassistent/in (Landi) EBA,Oberburg (BE)
70,1,Beck Schegg AG,2018,Detailhandelsassistent/in (Lederwaren und Reiseartikel) EBA,Oberriet SG (SG)
71,1,Pöschtli Beck AG,2018,Detailhandelsassistent/in (Möbel) EBA,Obfelden (ZH)
72,1,Detlef Scharrenberg,2018,Detailhandelsassistent/in (Musikinstrumente) EBA,Oetwil am See (ZH)
73,1,Bäckerei und Restaurant Linde AG,2019,Detailhandelsassistent/in (Nahrungs- und Genussmittel) EBA,Orpund (BE)
74,1,Schneiders Quer AG,2018,Detailhandelsassistent/in (Öffentlicher Verkehr) EBA,Pfäffikon ZH (ZH)
75,1,Urs Rössler,2018,Detailhandelsassistent/in (Papeterie) EBA,Pfungen (ZH)
76,1,Genossenschaft Migros Ostschweiz,2018,Detailhandelsassistent/in (Parfumerie) EBA,Pizolpark (Mels) (SG)
77,1,Baeckerei-Konditorei Rappo GmbH,2018,Detailhandelsassistent/in (Post) EBA,Plasselb (FR)
78,1,Bäckerei-Konditorei zur Weinburg,2018,Detailhandelsassistent/in (Schuhe) EBA,Rehetobel (AR)
79,1,R. Hänggi AG Bäckerei-Konditorei,2018,Detailhandelsassistent/in (Spielwaren) EBA,Rothenburg (LU)
80,1,Süesswinkel AG,2018,Detailhandelsassistent/in (Sportartikel) EBA,Rothenburg (LU)
81,1,Café Studio GmbH,2018,Detailhandelsassistent/in (Teppich und Bodenbeläge) EBA,Sargans (SG)
82,1,Le Fournil Romand SA,2018,Detailhandelsassistent/in (Textil) EBA,Satigny (GE)
