,Anzahl,Firma,Jahr,Lehrstelle,Ort
0,1,Cordag AG,2018,Abdichter/in EFZ,Aesch BL (BL)
1,1,Signalplus,2019,Abdichtungspraktiker/in EBA,Bonaduz (GR)
2,1,Bischof Schriften,2019,Agrarpraktiker/in EBA,Chur (GR)
3,1,P + P Reklamen AG,2018,Agrarpraktiker/in (Landwirtschaft) EBA,Eschenz (TG)
4,1,Nota Bene Pelfini Gravure S.A.,2018,Agrarpraktiker/in (Spezialkulturen) EBA,Genf (GE)
5,1,PRINTOP Werbetechnik AG,2018,Agrarpraktiker/in (Weinbereitung) EBA,Grabs (SG)
6,1,Wäspi Werbetechnik GmbH,2018,Anlagen- und Apparatebauer/in EFZ,Herisau (AR)
7,1,Gloor Maler Werbetechnik AG,2018,Anlagenführer/in EFZ,Rothrist (AG)
8,1,Druckcenter Uri GmbH,2019,Architekturmodellbauer/in EFZ,Schattdorf (UR)
9,1,Kursiv AG,2019,Assistent/in Gesundheit und Soziales EBA,Urtenen-Schönbühl (BE)
10,1,Schlossgarten Riggisberg,2019,Augenoptiker/in EFZ,Riggisberg (BE)
11,1,Manufactura Tessanda Val Müstair,2019,Automatiker/in EFZ,Sta. Maria Val Müstair (GR)
12,1,Gabriele Mirarchi AG,2018,Automatikmonteur/in EFZ,Aarburg (AG)
13,1,Urs Haller AG,2018,Automobil-Assistent/in EBA,Aesch LU (LU)
14,1,R. Bischofberger AG,2018,Automobil-Fachmann/-frau EFZ,Affoltern am Albis (ZH)
15,1,Frühauf Rundum GmbH,2018,Automobil-Fachmann/-frau (Nutzfahrzeuge) EFZ,Alpnach Dorf (OW)
16,1,Franz Kempf AG,2019,Automobil-Fachmann/-frau (Personenwagen) EFZ,Altdorf UR (UR)
17,1,Giovanni Russo AG,2018,Automobil-Mechatroniker/in EFZ,Andelfingen (ZH)
18,1,Baumann + Geiger AG,2018,Automobil-Mechatroniker/in (Nutzfahrzeuge) EFZ,Arbon (TG)
19,1,Walter Bucher AG,2018,Automobil-Mechatroniker/in (Personenwagen) EFZ,Basadingen (TG)
20,1,Büsser Roland,2018,Bäcker/in-Konditor/in-Confiseur/in EBA,Bellikon (AG)
21,3,Egli AG,2019,Bäcker/in-Konditor/in-Confiseur/in EFZ,Biel/Bienne 6 (BE)
22,1,LTM Martino AG,2018,Bäcker/in-Konditor/in-Confiseur/in (Bäckerei-Konditorei) EFZ,Bösingen (FR)
23,1,BP Bau & Partner AG,2018,Bäcker/in-Konditor/in-Confiseur/in (Konditorei-Confiserie) EFZ,Büron (LU)
24,1,Caragnano & Cie S.A.,2018,Baumaschinenmechaniker/in EFZ,Carouge GE (GE)
25,1,Entreprise Belloni SA,2018,Baupraktiker/in EBA,Carouge GE (GE)
26,1,Bösch + Partner AG,2019,Bauwerktrenner/in EFZ,Cham (ZG)
27,1,Luc Terraz Peinture Sàrl,2018,Bekleidungsgestalter/in EFZ,Château-d'Oex (VD)
28,1,PASI SA,2018,Bekleidungsgestalter/in (Berufs- und Schutzbekleidung) EFZ,Chiasso (TI)
29,2,Rogantini Gips,2019,Bekleidungsgestalter/in (Damenbekleidung) EFZ,Chur (GR)
30,1,Devonas Gips AG,2019,Bekleidungsgestalter/in (Herrenbekleidung) EFZ,Cunter (GR)
31,1,Meier + Schärer AG,2018,Bekleidungsgestalter/in (Kopfbedeckung) EFZ,Dagmersellen (LU)
32,1,Heinz Adank GmbH,2019,Bekleidungsgestalter/in (Pelzbekleidung) EFZ,Davos Dorf (GR)
33,1,Roland Spirgi AG,2018,Bekleidungsnäher/in EBA,Diessenhofen (TG)
34,2,Vito Serratore AG,2018,Betonwerker/in EFZ,Dörflingen (SH)
35,1,Circelli AG,2018,Boden-Parkettleger/in EFZ,Ebikon (LU)
36,1,GLB Emmental,2019,Boden-Parkettleger/in (Parkett) EFZ,Emmenmatt (BE)
37,1,Hildbrand Robert AG,2018,Boden-Parkettleger/in (Textile und elastische Beläge) EFZ,Gampel (VS (de))
38,1,Hyseni Constructions SA,2018,Bootbauer/in EFZ,Genf (GE)
39,1,Anton Meier AG,2018,Bootfachwart/in EFZ,Geuensee (LU)
40,1,De Donno Mario AG,2018,Buchhändler/in EFZ,Gisikon (LU)
41,1,Passeri Roberto AG,2018,Büchsenmacher/in EFZ,Glis (VS (de))
42,1,Schnyder Beat,2018,Bühnentänzer/in EFZ,Glis (VS (de))
43,1,Peter Spring AG,2019,Bühnentänzer/in (Klassischer Tanz) EFZ,Gwatt (Thun) (BE)
44,1,Norbert Schirmer AG,2018,Bühnentänzer/in (Zeitgenössischer Tanz) EFZ,Horgen (ZH)
45,1,Colledani AG,2018,Büroassistent/in EBA,Kägiswil (OW)
46,1,OK Peinture SA,2018,Carrosserielackierer/in EFZ,La Tour-de-Trême (FR)
47,1,Sauteur Georges SA,2018,Carrosseriespengler/in EFZ,La Tour-de-Trême (FR)
48,1,Bigler Maler und Gipser AG,2019,Chemie- und Pharmapraktiker/in EBA,Langnau im Emmental (BE)
49,1,Marchese AG,2018,Chemie- und Pharmatechnologe/-login EFZ,Laupen ZH (ZH)
50,1,Mikael Lacroix,2018,Coiffeur/-euse EBA,Le Brassus (VD)
51,1,Modesti Gipsergeschäft GmbH,2018,Coiffeur/-euse EFZ,Lichtensteig (SG)
52,1,KMU Lehrbetriebsverbund AG,2018,Dachdecker/in EFZ,Liestal (BL)
53,1,Bezzola AG Luzern,2018,Dachdeckerpraktiker/in EBA,Luzern (LU)
54,2,Gypsa Exploitation SA,2018,Dekorationsnäher/in EBA,Martigny (VS (fr))
55,1,Roy Frères,2018,Dentalassistent/in EFZ,Montagny-près-Yverdon (VD)
56,1,JAN SA,2018,Detailhandelsassistent/in EBA,Montherod (VD)
57,1,J. Fasero Sàrl,2018,Detailhandelsassistent/in (Autoteile-Logistik) EBA,Montreux (VD)
58,1,GLM Gipserei Lüthi & Moser Gmbh,2018,"Detailhandelsassistent/in (Bäckerei, Konditorei, Confiserie) EBA",Murten (FR)
59,1,Burgener Donat AG,2018,Detailhandelsassistent/in (Consumer-Electronics) EBA,Naters (VS (de))
60,3,Gipsergeschäft Arte GmbH,2018,Detailhandelsassistent/in (Do-it-yourself) EBA,Niedergösgen (SO)
61,1,Nigro et fils Sàrl,2018,Detailhandelsassistent/in (Eisenwaren) EBA,Nyon (VD)
62,1,Pelichet - Posse SA,2018,Detailhandelsassistent/in (Elektrofach) EBA,Nyon (VD)
63,1,BEER SA,2019,Detailhandelsassistent/in (Farben) EBA,Rabius (GR)
64,1,Pfammatter Romeo AG,2018,Detailhandelsassistent/in (Fleischwirtschaft) EBA,Ried-Brig (VS (de))
65,1,Albert Mayer AG,2018,Detailhandelsassistent/in (Flower) EBA,Romanshorn (TG)
66,1,Uffer Gips AG,2019,Detailhandelsassistent/in (Garden) EBA,Savognin (GR)
67,1,Anello & Serratore,2018,Detailhandelsassistent/in (Haushalt) EBA,Schaffhausen (SH)
68,1,W. Schlatter-Diethelm AG,2018,Detailhandelsassistent/in (Kiosk) EBA,Schaffhausen (SH)
69,1,SATA AG,2019,Detailhandelsassistent/in (Landi) EBA,Schattdorf (UR)
70,1,Gipser- und Malergenossenschaft Zürich,2018,Detailhandelsassistent/in (Lederwaren und Reiseartikel) EBA,Schlieren (ZH)
71,1,Daniel Vögeli,2018,Detailhandelsassistent/in (Möbel) EBA,Selzach (SO)
72,1,2 Frias Sàrl,2018,Detailhandelsassistent/in (Musikinstrumente) EBA,Sitten (VS (fr))
73,1,Branger-Frigerio + Co.,2018,Detailhandelsassistent/in (Nahrungs- und Genussmittel) EBA,Solothurn (SO)
74,2,Broggini AG,2018,Detailhandelsassistent/in (Öffentlicher Verkehr) EBA,St. Gallen (SG)
75,1,Qufaj Gipsergeschäft GmbH,2018,Detailhandelsassistent/in (Papeterie) EBA,St. Gallen (SG)
76,1,Malerei Greiner AG,2019,Detailhandelsassistent/in (Parfumerie) EBA,Sta. Maria Val Müstair (GR)
77,1,Antonini AG,2018,Detailhandelsassistent/in (Post) EBA,Stans (NW)
78,3,Merz Gips AG,2019,Detailhandelsassistent/in (Schuhe) EBA,Stettlen (BE)
79,1,innen + aussen schnyder,2018,Detailhandelsassistent/in (Spielwaren) EBA,Susten (VS (de))
80,1,DI MARCO SA,2018,Detailhandelsassistent/in (Sportartikel) EBA,Taverne (TI)
81,1,Sager AG,2018,Detailhandelsassistent/in (Teppich und Bodenbeläge) EBA,Tecknau (BL)
82,1,GLB Berner Mittelland,2019,Detailhandelsassistent/in (Textil) EBA,Thörishaus (BE)
83,1,V. Hossmann & Sohn AG,2019,"Detailhandelsassistent/in (Uhren, Schmuck, Edelsteine) EBA",Thusis (GR)
84,1,F. Spielmann GmbH,2018,Detailhandelsassistent/in (Zoofachhandel) EBA,Trimbach (SO)
