,Anzahl,Firma,Jahr,Lehrstelle,Ort
0,2,Steger AG,2018,Abdichter/in EFZ,Aadorf (TG)
1,2,Kurt Vorburger AG,2018,Abdichtungspraktiker/in EBA,Aarau Rohr (AG)
2,1,Schacher Sanitär AG,2018,Agrarpraktiker/in EBA,Adligenswil (LU)
3,1,Urs Pfister,2019,Agrarpraktiker/in (Landwirtschaft) EBA,Aeschi b. Spiez (BE)
4,1,Langensand AG,2018,Agrarpraktiker/in (Spezialkulturen) EBA,Alpnach Dorf (OW)
5,1,Pilatus-Therm AG,2018,Agrarpraktiker/in (Weinbereitung) EBA,Alpnach Dorf (OW)
6,1,Tobler Haustechnik + Metallbau AG,2018,Anlagen- und Apparatebauer/in EFZ,Alt St. Johann (SG)
7,1,G. Bosshard AG,2019,Anlagenführer/in EFZ,Altdorf UR (UR)
8,1,Marty AG,2019,Architekturmodellbauer/in EFZ,Altdorf UR (UR)
9,1,Huser Erich AG,2018,Assistent/in Gesundheit und Soziales EBA,Altendorf (SZ)
10,1,Fässler Ivo AG,2019,Augenoptiker/in EFZ,Appenzell (AI)
11,1,Fuchs AG,2019,Automatiker/in EFZ,Appenzell Meistersrüte (AI)
12,1,Giston AG,2019,Automatikmonteur/in EFZ,Ardez (GR)
13,1,Waidacher Gebäudetechnik,2019,Automobil-Assistent/in EBA,Arosa (GR)
14,2,GWT Gebäude- und Wassertechnik GmbH,2018,Automobil-Fachmann/-frau EFZ,Au SG (SG)
15,1,Niedermann AG,2019,Automobil-Fachmann/-frau (Nutzfahrzeuge) EFZ,Baar (ZG)
16,2,Steinmann Haustechnik AG,2019,Automobil-Fachmann/-frau (Personenwagen) EFZ,Baar (ZG)
17,1,Lisignoli AG,2018,Automobil-Mechatroniker/in EFZ,Bad Ragaz (SG)
18,1,Hochuli Ing AG,2018,Automobil-Mechatroniker/in (Nutzfahrzeuge) EFZ,Baden (AG)
19,1,Eiholzer AG,2018,Automobil-Mechatroniker/in (Personenwagen) EFZ,Baldegg (LU)
20,1,W. + D. Schwegler AG,2018,Bäcker/in-Konditor/in-Confiseur/in EBA,Ballwil (LU)
21,1,Sunier AG San.Anlagen,2018,Bäcker/in-Konditor/in-Confiseur/in EFZ,Bäretswil (ZH)
22,1,ENGIE Services AG,2018,Bäcker/in-Konditor/in-Confiseur/in (Bäckerei-Konditorei) EFZ,Basel (BS)
23,2,Rosenmund Haustechnik AG,2018,Bäcker/in-Konditor/in-Confiseur/in (Konditorei-Confiserie) EFZ,Basel (BS)
24,1,Tschantré AG,2018,Baumaschinenmechaniker/in EFZ,Basel (BS)
