,Anzahl,Firma,Jahr,Lehrstelle,Ort
0,1,Implenia Schweiz AG,2018,Abdichter/in EFZ,Aarau (AG)
1,1,Marcel Stampfli,2018,Abdichtungspraktiker/in EBA,Aedermannsdorf (SO)
2,1,Affentranger Bau AG,2018,Agrarpraktiker/in EBA,Altbüron (LU)
3,1,"Sutter AG, Appenzell",2019,Agrarpraktiker/in (Landwirtschaft) EBA,Appenzell (AI)
4,1,Fedi impraisa da fabrica SA,2019,Agrarpraktiker/in (Spezialkulturen) EBA,Ardez (GR)
5,1,Impresa Bogana Francesco Sagl,2019,Agrarpraktiker/in (Weinbereitung) EBA,Arvigo (GR)
6,1,StreuleBau AG,2019,Anlagen- und Apparatebauer/in EFZ,Brülisau (AI)
7,1,Bischofberger,2018,Anlagenführer/in EFZ,Diepoldsau (SG)
8,1,Walo Bertschinger AG,2018,Architekturmodellbauer/in EFZ,Dietikon (ZH)
9,1,Piatti + Bürgin Bau AG,2018,Assistent/in Gesundheit und Soziales EBA,Dietlikon (ZH)
10,1,Berther Bau und Industrie AG,2019,Augenoptiker/in EFZ,Disentis/Mustér (GR)
11,1,STRABAG AG,2019,Automatiker/in EFZ,Disentis/Mustér (GR)
12,1,Ulrich Hartmann AG,2018,Automatikmonteur/in EFZ,Ebnat-Kappel (SG)
13,1,Weibel Peter GmbH,2018,Automobil-Assistent/in EBA,Einsiedeln (SZ)
14,1,Gombau AG,2018,Automobil-Fachmann/-frau EFZ,Fiesch (VS (de))
15,1,J. Erni AG,2019,Automobil-Fachmann/-frau (Nutzfahrzeuge) EFZ,Flims Dorf (GR)
16,1,Brigger Bau AG,2018,Automobil-Fachmann/-frau (Personenwagen) EFZ,Grächen (VS (de))
17,1,Berger Bau AG,2018,Automobil-Mechatroniker/in EFZ,Grenchen (SO)
18,1,Krummenacher Bau AG,2018,Automobil-Mechatroniker/in (Nutzfahrzeuge) EFZ,Hellbühl (LU)
19,1,Frühauf Bauteam AG,2018,Automobil-Mechatroniker/in (Personenwagen) EFZ,Kägiswil (OW)
20,1,Ernst Frey AG,2018,Bäcker/in-Konditor/in-Confiseur/in EBA,Kaiseraugst (AG)
21,1,Gebr. Stucki AG,2018,Bäcker/in-Konditor/in-Confiseur/in EFZ,Mollis (GL)
22,1,Marti AG Bern,2019,Bäcker/in-Konditor/in-Confiseur/in (Bäckerei-Konditorei) EFZ,Moosseedorf (BE)
23,1,GT Bauservice GmbH,2018,Bäcker/in-Konditor/in-Confiseur/in (Konditorei-Confiserie) EFZ,Muttenz (BL)
24,1,Ruppen Peter AG,2018,Baumaschinenmechaniker/in EFZ,Naters (VS (de))
25,1,Sidler & Co. Nottwil AG,2018,Baupraktiker/in EBA,Nottwil (LU)
26,1,Bianchi Bau AG,2019,Bauwerktrenner/in EFZ,Obersaxen (GR)
27,1,Strabag AG,2018,Bekleidungsgestalter/in EFZ,Oensingen (SO)
28,1,BEER SA,2019,Bekleidungsgestalter/in (Berufs- und Schutzbekleidung) EFZ,Rabius (GR)
