,Anzahl,Firma,Jahr,Lehrstelle,Ort
0,1,Dätwyler IT Services AG,2019,Abdichter/in EFZ,Altdorf UR (UR)
1,1,First Frame Networkers AG,2019,Abdichtungspraktiker/in EBA,Baar (ZG)
2,1,Amt für Informatik und Organisation,2019,Agrarpraktiker/in EBA,Bern (BE)
3,1,Berner Fachhochschule,2019,Agrarpraktiker/in (Landwirtschaft) EBA,Bern (BE)
4,3,Bundesamt für Informatik und Telekommunikation,2019,Agrarpraktiker/in (Spezialkulturen) EBA,Bern (BE)
5,2,ICT Berufsbildungscenter AG,2019,Agrarpraktiker/in (Weinbereitung) EBA,Bern (BE)
6,1,Logicial SA,2018,Anlagen- und Apparatebauer/in EFZ,Martigny (VS (fr))
7,2,Roche Diagnostics International AG,2019,Anlagenführer/in EFZ,Rotkreuz (ZG)
8,1,Cropmark AG,2018,Architekturmodellbauer/in EFZ,Wettingen (AG)
9,2,bildxzug,2019,Assistent/in Gesundheit und Soziales EBA,Zug (ZG)
10,1,Finanzdirektion Kanton Zug,2019,Augenoptiker/in EFZ,Zug (ZG)
11,1,Marrer Unterlagsböden AG,2018,Automatiker/in EFZ,Däniken SO (SO)
12,2,Walo Bertschinger AG,2018,Automatikmonteur/in EFZ,Dietikon (ZH)
13,1,Marti Bauunternehmung AG,2018,Automobil-Assistent/in EBA,Luzern (LU)
14,1,Walo Bertschinger AG,2018,Automobil-Fachmann/-frau EFZ,Wittenbach (SG)
15,1,Steinit AG,2018,Automobil-Fachmann/-frau (Nutzfahrzeuge) EFZ,Zürich (ZH)
16,1,ZZ WANCOR AG,2018,Automobil-Fachmann/-frau (Personenwagen) EFZ,Bürglen TG (TG)
17,1,Ganz Baukeramik AG,2018,Automobil-Mechatroniker/in EFZ,Embrach (ZH)
18,2,SAI Swiss Aviation Interiors GmbH,2018,Automobil-Mechatroniker/in (Nutzfahrzeuge) EFZ,Altenrhein (SG)
19,1,Staub AG,2018,Automobil-Mechatroniker/in (Personenwagen) EFZ,Biberist (SO)
20,1,Leu Carrosserie und Spritzwerk AG,2018,Bäcker/in-Konditor/in-Confiseur/in EBA,Biel-Benken BL (BL)
21,1,Hans Sturzenegger AG,2018,Bäcker/in-Konditor/in-Confiseur/in EFZ,Brüttisellen (ZH)
22,1,Stadler Bussnang AG,2018,Bäcker/in-Konditor/in-Confiseur/in (Bäckerei-Konditorei) EFZ,Bussnang (TG)
23,1,lackierwerk toggenburg ag,2018,Bäcker/in-Konditor/in-Confiseur/in (Konditorei-Confiserie) EFZ,Bütschwil (SG)
24,1,RUAG Schweiz AG,2018,Baumaschinenmechaniker/in EFZ,Emmen (LU)
25,1,GALVASWISS AG,2018,Baupraktiker/in EBA,Felben-Wellhausen (TG)
26,1,Carrosserie Cico AG,2018,Bauwerktrenner/in EFZ,Gamsen (VS (de))
27,1,Bossart + Partner AG,2018,Bekleidungsgestalter/in EFZ,Gettnau (LU)
28,1,Burkolter Korrosionsschutz,2018,Bekleidungsgestalter/in (Berufs- und Schutzbekleidung) EFZ,Hefenhofen (TG)
29,1,Maler Huwiler AG,2019,Bekleidungsgestalter/in (Damenbekleidung) EFZ,Hünenberg (ZG)
30,1,Pascal Günter Spritzwerk AG,2018,Bekleidungsgestalter/in (Herrenbekleidung) EFZ,Ruswil (LU)
31,1,Duoton GmbH,2018,Bekleidungsgestalter/in (Kopfbedeckung) EFZ,Schlieren (ZH)
32,1,Emil Gisler AG,2019,Bekleidungsgestalter/in (Pelzbekleidung) EFZ,Seedorf UR (UR)
33,1,BIRCHER AG,2018,Bekleidungsnäher/in EBA,Suhr (AG)
34,1,Harzenmoser,2018,Betonwerker/in EFZ,Uzwil (SG)
35,1,Hochuli Metallbau AG,2018,Boden-Parkettleger/in EFZ,Wigoltingen (TG)
