,Anzahl,Firma,Jahr,Lehrstelle,Ort
0,1,AP Horses Sàrl,2018,Abdichter/in EFZ,Avully (GE)
1,1,Stall Einhorn,2019,Abdichtungspraktiker/in EBA,Baar (ZG)
2,3,Nationales Pferdezentrum Bern,2019,Agrarpraktiker/in EBA,Bern (BE)
3,1,Stall Lüdi,2018,Agrarpraktiker/in (Landwirtschaft) EBA,Biel-Benken BL (BL)
4,1,Pferdesportstall Sigg AG,2018,Agrarpraktiker/in (Spezialkulturen) EBA,Buchs ZH (ZH)
5,1,Manège de Corminboeuf,2018,Agrarpraktiker/in (Weinbereitung) EBA,Corminboeuf (FR)
6,1,SESA Horses GmbH,2018,Anlagen- und Apparatebauer/in EFZ,Schaffhausen (SH)
7,1,Reitsportzentrum Thurfeld,2018,Anlagenführer/in EFZ,Sulgen (TG)
8,1,Vittorio & Catharina Raverdino Centre équestre de Richelien,2018,Architekturmodellbauer/in EFZ,Versoix (GE)
9,1,Andrea Heim,2018,Assistent/in Gesundheit und Soziales EBA,Abtwil SG (SG)
10,1,AP Horses Sàrl,2018,Augenoptiker/in EFZ,Avully (GE)
11,1,Stall Einhorn,2019,Automatiker/in EFZ,Baar (ZG)
12,2,Nationales Pferdezentrum Bern,2019,Automatikmonteur/in EFZ,Bern (BE)
13,1,Stall Lüdi,2018,Automobil-Assistent/in EBA,Biel-Benken BL (BL)
14,1,BB Reit- und Zuchtbetrieb AG,2018,Automobil-Fachmann/-frau EFZ,Bilten (GL)
15,1,Rennstall Casotti,2018,Automobil-Fachmann/-frau (Nutzfahrzeuge) EFZ,Buchrain (LU)
16,1,Manège de Corminboeuf,2018,Automobil-Fachmann/-frau (Personenwagen) EFZ,Corminboeuf (FR)
17,1,Reit- und Pensionsstall,2018,Automobil-Mechatroniker/in EFZ,Geuensee (LU)
18,1,Zucht- und Reitstall Familie Emmenegger,2018,Automobil-Mechatroniker/in (Nutzfahrzeuge) EFZ,Hasle LU (LU)
19,1,Reithof Staubli AG,2018,Automobil-Mechatroniker/in (Personenwagen) EFZ,Horgenberg (ZH)
20,1,Spirit of the West,2019,Bäcker/in-Konditor/in-Confiseur/in EBA,Landquart (GR)
21,2,DEREK FRANK,2018,Bäcker/in-Konditor/in-Confiseur/in EFZ,Losone (TI)
22,1,Haflinger Zentrum AG,2019,Bäcker/in-Konditor/in-Confiseur/in (Bäckerei-Konditorei) EFZ,Trachselwald (BE)
23,1,Karin Henseler,2018,Bäcker/in-Konditor/in-Confiseur/in (Konditorei-Confiserie) EFZ,Udligenswil (LU)
24,1,Reitstall Wissrüti,2018,Baumaschinenmechaniker/in EFZ,Uster (ZH)
25,1,Vittorio & Catharina Raverdino Centre équestre de Richelien,2018,Baupraktiker/in EBA,Versoix (GE)
26,1,Centre équestre Les Kà,2018,Bauwerktrenner/in EFZ,Vuadens (FR)
27,1,Stall Steinmann GmbH,2018,Bekleidungsgestalter/in EFZ,Zürich (ZH)
