,Anzahl,Firma,Jahr,Lehrstelle,Ort
0,1,Metallbau Bucher AG,2018,Abdichter/in EFZ,Adligenswil (LU)
1,1,Iromet AG,2018,Abdichtungspraktiker/in EBA,Alpnach Dorf (OW)
2,1,Metallbau Widmer AG,2018,Agrarpraktiker/in EBA,Alpnach Dorf (OW)
3,3,Ruch Metallbau AG,2019,Agrarpraktiker/in (Landwirtschaft) EBA,Altdorf UR (UR)
4,2,Schlosserei Trögli AG,2019,Agrarpraktiker/in (Spezialkulturen) EBA,Altdorf UR (UR)
5,1,B. Kaufmann AG,2018,Agrarpraktiker/in (Weinbereitung) EBA,Altishofen (LU)
6,1,METHABAU Bau AG,2018,Anlagen- und Apparatebauer/in EFZ,Amriswil (TG)
7,1,Walker Stahl- und Metallbau AG,2019,Anlagenführer/in EFZ,Amsteg (UR)
8,1,Serrurerie Vaucher SA,2018,Architekturmodellbauer/in EFZ,Attalens (FR)
9,1,Klausner Wetter Metallbau AG,2018,Assistent/in Gesundheit und Soziales EBA,Auw (AG)
10,1,Metallbau Zenhäusern AG,2018,Augenoptiker/in EFZ,Baltschieder (VS (de))
11,1,KESMON MECCANICA SA,2018,Automatiker/in EFZ,Barbengo (TI)
12,1,Niederberger Tor- und Metallbau AG,2018,Automatikmonteur/in EFZ,Beckenried (NW)
13,1,Dellsperger AG,2019,Automobil-Assistent/in EBA,Bern (BE)
14,1,EMCH Aufzüge AG,2019,Automobil-Fachmann/-frau EFZ,Bern (BE)
15,2,MLG Metall und Planung AG,2019,Automobil-Fachmann/-frau (Nutzfahrzeuge) EFZ,Bern (BE)
16,1,FMT Metall-Technik AG,2018,Automobil-Fachmann/-frau (Personenwagen) EFZ,Bettwiesen (TG)
17,1,Metallbau Huser AG,2018,Automobil-Mechatroniker/in EFZ,Birrhard (AG)
18,1,Frabetti Metallbau AG,2018,Automobil-Mechatroniker/in (Nutzfahrzeuge) EFZ,Brig (VS (de))
19,1,Wälti-Serv Tech AG,2018,Automobil-Mechatroniker/in (Personenwagen) EFZ,Bronschhofen (SG)
20,1,fehrtech AG,2018,Bäcker/in-Konditor/in-Confiseur/in EBA,Buchberg (SH)
21,3,Progin SA Métal,2018,Bäcker/in-Konditor/in-Confiseur/in EFZ,Bulle 1 (FR)
22,1,Gebr. Leuthold Metallbau AG,2018,Bäcker/in-Konditor/in-Confiseur/in (Bäckerei-Konditorei) EFZ,Büren NW (NW)
23,1,Feral Mancini SA,2018,Bäcker/in-Konditor/in-Confiseur/in (Konditorei-Confiserie) EFZ,Bussigny (VD)
24,1,Ughini Metallbau AG,2019,Baumaschinenmechaniker/in EFZ,Cazis (GR)
25,1,Mächler Metallbau AG,2019,Baupraktiker/in EBA,Cham (ZG)
26,1,LEAL ALU PVC,2018,Bauwerktrenner/in EFZ,Chézard-St-Martin (NE)
27,1,Merkle Metallbau AG,2019,Bekleidungsgestalter/in EFZ,Chur (GR)
28,1,Christian Rouiller SA,2018,Bekleidungsgestalter/in (Berufs- und Schutzbekleidung) EFZ,Collombey (VS (fr))
29,1,EROS TOGNI METALCOSTRUZIONI SA,2018,Bekleidungsgestalter/in (Damenbekleidung) EFZ,Cresciano (TI)
30,1,Thomann Landmaschinen/Metallbau,2019,Bekleidungsgestalter/in (Herrenbekleidung) EFZ,Cunter (GR)
31,1,Omlin Metallbau AG,2019,Bekleidungsgestalter/in (Kopfbedeckung) EFZ,Davos Dorf (GR)
32,1,GEESmetall GmbH,2019,Bekleidungsgestalter/in (Pelzbekleidung) EFZ,Davos Wiesen (GR)
33,1,SAFIZ AG,2018,Bekleidungsnäher/in EBA,Dozwil (TG)
34,2,Alder + Eisenhut AG,2018,Betonwerker/in EFZ,Ebnat-Kappel (SG)
35,1,J. Scheuner Sàrl,2018,Boden-Parkettleger/in EFZ,Echandens (VD)
36,2,Jegen AG,2018,Boden-Parkettleger/in (Parkett) EFZ,Effretikon (ZH)
37,1,Kempf Metallbau GmbH,2018,Boden-Parkettleger/in (Textile und elastische Beläge) EFZ,Emmen (LU)
38,1,Krapf AG,2018,Bootbauer/in EFZ,Engelburg (SG)
39,1,Iseli Schlosserei AG,2019,Bootfachwart/in EFZ,Enggistein (BE)
40,1,E. Marti AG,2018,Buchhändler/in EFZ,Engi (GL)
41,1,Epp Metallbau AG,2019,Büchsenmacher/in EFZ,Erstfeld (UR)
42,1,Steibock AG,2019,Bühnentänzer/in EFZ,Erstfeld (UR)
43,1,Stöcklin AG,2018,Bühnentänzer/in (Klassischer Tanz) EFZ,Ettingen (BL)
44,1,Piccand Gilles Sàrl,2018,Bühnentänzer/in (Zeitgenössischer Tanz) EFZ,Farvagny-le-Grand (FR)
45,1,Behr Metall AG,2018,Büroassistent/in EBA,Felben-Wellhausen (TG)
46,1,Bolomey & Borloz SA - Constructions métalliques,2018,Carrosserielackierer/in EFZ,Fenil-sur-Corsier (VD)
