,Anzahl,Firma,Jahr,Lehrstelle,Ort
0,1,Kleintierpraxis Stadler,2019,Abdichter/in EFZ,Altdorf UR (UR)
1,1,Tierarztpraxis Sägematt AG,2019,Abdichtungspraktiker/in EBA,Belp (BE)
2,1,Departement für klinische Veterinärmedizin,2019,Agrarpraktiker/in EBA,Bern (BE)
3,1,Tierklinik Masans AG,2019,Agrarpraktiker/in (Landwirtschaft) EBA,Chur (GR)
4,1,Tierärztliche Gemeinschaftspraxis Lindenmatte AG,2019,Agrarpraktiker/in (Spezialkulturen) EBA,Frutigen (BE)
5,1,Tierarztpraxis Schönenboden AG,2019,Agrarpraktiker/in (Weinbereitung) EBA,Grosshöchstetten (BE)
6,1,Dr. med. vet. F. Ardüser,2019,Anlagen- und Apparatebauer/in EFZ,Lenzerheide/Lai (GR)
7,1,Dr.med.vet. Dunja Fenner,2019,Anlagenführer/in EFZ,Unterägeri (ZG)
8,2,Berner Tierschutz,2019,Architekturmodellbauer/in EFZ,Bern (BE)
9,1,HDZ Hundezentrum Würenlos,2018,Assistent/in Gesundheit und Soziales EBA,Würenlos (AG)
10,1,Departement für klinische Veterinärmedizin,2019,Augenoptiker/in EFZ,Bern (BE)
