,Anzahl,Firma,Jahr,Lehrstelle,Ort
0,1,Wallimann AG,2018,Abdichter/in EFZ,Alpnach Dorf (OW)
1,1,Alb. Lehmann Lindmühle AG,2018,Abdichtungspraktiker/in EBA,Birmenstorf AG (AG)
2,1,Strahm Mühle AG,2019,Agrarpraktiker/in EBA,Münsingen (BE)
3,1,Beck & Cie. AG,2019,Agrarpraktiker/in (Landwirtschaft) EBA,Utzenstorf (BE)
4,1,Alb. Lehmann Bioprodukte AG,2018,Agrarpraktiker/in (Spezialkulturen) EBA,Arnegg (SG)
5,1,UFA AG,2019,Agrarpraktiker/in (Weinbereitung) EBA,Herzogenbuchsee (BE)
6,1,Egli-Mühlen AG,2018,Anlagen- und Apparatebauer/in EFZ,Nebikon (LU)
7,1,UFA AG,2018,Anlagenführer/in EFZ,Sursee (LU)
8,1,Weinlandmühle Trüllikon,2018,Architekturmodellbauer/in EFZ,Trüllikon (ZH)
9,1,Moulin de la Vaux Aubonne SA,2018,Assistent/in Gesundheit und Soziales EBA,Aubonne (VD)
10,1,walker radio tv + pc GmbH,2019,Augenoptiker/in EFZ,Altdorf UR (UR)
11,1,Neff und Drexel AG,2019,Automatiker/in EFZ,Appenzell (AI)
12,1,Bassi Elektro AG,2019,Automatikmonteur/in EFZ,Arosa (GR)
13,3,Sertronics AG,2018,Automobil-Assistent/in EBA,Birmenstorf AG (AG)
14,1,4e elektrotechnik ag,2019,Automobil-Fachmann/-frau EFZ,Chur (GR)
15,1,Expert Strittmatter,2019,Automobil-Fachmann/-frau (Nutzfahrzeuge) EFZ,Chur (GR)
16,1,Weta Radio & Fernseh AG,2019,Automobil-Fachmann/-frau (Personenwagen) EFZ,Chur (GR)
17,1,Gossweiler Radio TV,2018,Automobil-Mechatroniker/in EFZ,Daillens (VD)
18,1,SFERS AG,2018,Automobil-Mechatroniker/in (Nutzfahrzeuge) EFZ,Dietikon (ZH)
19,1,Audio-Video Spalinger,2018,Automobil-Mechatroniker/in (Personenwagen) EFZ,Dietlikon (ZH)
20,1,Audio Video Fischer AG,2018,Bäcker/in-Konditor/in-Confiseur/in EBA,Ebikon (LU)
21,1,AVS Systeme AG,2019,Bäcker/in-Konditor/in-Confiseur/in EFZ,Hünenberg (ZG)
22,2,Felix Martin,2018,Bäcker/in-Konditor/in-Confiseur/in (Bäckerei-Konditorei) EFZ,Lachen SZ (SZ)
23,1,CONCA TV VIDEO SA,2018,Bäcker/in-Konditor/in-Confiseur/in (Konditorei-Confiserie) EFZ,Locarno (TI)
24,1,Audio Vision Multimédia,2018,Baumaschinenmechaniker/in EFZ,Moudon (VD)
25,1,Dipl. Ing. Fust AG,2018,Baupraktiker/in EBA,Oberbüren (SG)
26,1,Felder Multimedia,2018,Bauwerktrenner/in EFZ,Schüpfheim (LU)
27,1,Koller Elektro AG,2019,Bekleidungsgestalter/in EFZ,St. Moritz (GR)
28,1,Münsterton GmbH,2019,Bekleidungsgestalter/in (Berufs- und Schutzbekleidung) EFZ,St. Moritz (GR)
29,1,Pomatti AG,2019,Bekleidungsgestalter/in (Damenbekleidung) EFZ,St. Moritz (GR)
30,1,AVC Audio Video Center AG,2018,Bekleidungsgestalter/in (Herrenbekleidung) EFZ,Sursee (LU)
31,1,Weta Radio & Fernseh AG,2019,Bekleidungsgestalter/in (Kopfbedeckung) EFZ,Thusis (GR)
32,1,SLG Broadcast AG,2018,Bekleidungsgestalter/in (Pelzbekleidung) EFZ,Watt (ZH)
33,1,Schneider Urs,2018,Bekleidungsnäher/in EBA,Würenlingen (AG)
34,1,Elektro Imboden F. & Söhne AG,2018,Betonwerker/in EFZ,Zermatt (VS (de))
35,1,Fux AG,2018,Boden-Parkettleger/in EFZ,Zürich (ZH)
36,1,Musik Grimm GmbH,2018,Boden-Parkettleger/in (Parkett) EFZ,Winterthur (ZH)
37,1,Hug Musique S.A.,2018,Boden-Parkettleger/in (Textile und elastische Beläge) EFZ,Ecublens VD (VD)
38,1,Orgelbau Kuhn AG,2018,Bootbauer/in EFZ,Männedorf (ZH)
39,1,Orgelbau Kuhn AG,2018,Bootfachwart/in EFZ,Männedorf (ZH)
