,Anzahl,Firma,Jahr,Lehrstelle,Ort
0,1,Glastec Altishofen GmbH,2018,Abdichter/in EFZ,Altishofen (LU)
1,1,VETRIMARGHI SA,2018,Abdichtungspraktiker/in EBA,Biasca (TI)
2,1,Demenga & Fils SA,2018,Agrarpraktiker/in EBA,Lully VD (VD)
3,1,VETRERIA BELVETRO E TICINOGLASS SAGL,2018,Agrarpraktiker/in (Landwirtschaft) EBA,Melide (TI)
4,1,Glasmanufaktur Buttikon AG,2018,Agrarpraktiker/in (Spezialkulturen) EBA,Reichenburg (SZ)
5,1,Keller Glas AG,2018,Agrarpraktiker/in (Weinbereitung) EBA,Winterthur (ZH)
6,1,Proverit AG,2019,Anlagen- und Apparatebauer/in EFZ,Zollikofen (BE)
7,1,Atelier de vitrail Moret Pascal,2018,Anlagenführer/in EFZ,Cugy FR (FR)
8,1,Login Formation professionnelle SA,2018,Architekturmodellbauer/in EFZ,Aclens (VD)
9,1,login Berufsbildung AG,2019,Assistent/in Gesundheit und Soziales EBA,Altdorf UR (UR)
10,1,login Berufsbildung AG,2019,Augenoptiker/in EFZ,Bern (BE)
11,1,login Berufsbildung AG,2018,Automatiker/in EFZ,Brig (VS (de))
12,1,login Berufsbildung AG,2019,Automatikmonteur/in EFZ,Burgdorf (BE)
13,1,Login Formation Professionnelle SA,2018,Automobil-Assistent/in EBA,Freiburg (FR)
14,1,login Berufsbildung AG,2019,Automobil-Fachmann/-frau EFZ,Frutigen (BE)
15,1,Schweizerische Südostbahn AG,2018,Automobil-Fachmann/-frau (Nutzfahrzeuge) EFZ,Herisau (AR)
16,1,C. Vanoli AG,2018,Automobil-Fachmann/-frau (Personenwagen) EFZ,Immensee (SZ)
17,1,login Berufsbildung AG,2019,Automobil-Mechatroniker/in EFZ,Landquart (GR)
18,1,Aare Seeland mobil AG,2019,Automobil-Mechatroniker/in (Nutzfahrzeuge) EFZ,Langenthal (BE)
19,1,login Berufsbildung AG,2019,Automobil-Mechatroniker/in (Personenwagen) EFZ,Langenthal (BE)
20,1,login Berufsbildung AG,2018,Bäcker/in-Konditor/in-Confiseur/in EBA,Lenzburg (AG)
21,2,login Berufsbildung AG,2018,Bäcker/in-Konditor/in-Confiseur/in EFZ,Sargans (SG)
22,2,login Berufsbildung AG,2018,Bäcker/in-Konditor/in-Confiseur/in (Bäckerei-Konditorei) EFZ,Schaffhausen (SH)
23,1,login Berufsbildung AG,2018,Bäcker/in-Konditor/in-Confiseur/in (Konditorei-Confiserie) EFZ,Schwyz (SZ)
24,1,login Berufsbildung AG,2018,Baumaschinenmechaniker/in EFZ,St. Gallen (SG)
25,1,login Berufsbildung AG,2019,Baupraktiker/in EBA,Thusis (GR)
26,1,login Berufsbildung AG,2018,Bauwerktrenner/in EFZ,Wil SG (SG)
27,1,VANOLI AG Zofingen,2018,Bekleidungsgestalter/in EFZ,Zofingen (AG)
28,1,login Berufsbildung AG,2019,Bekleidungsgestalter/in (Berufs- und Schutzbekleidung) EFZ,Bern (BE)
29,1,login Berufsbildung AG,2018,Bekleidungsgestalter/in (Damenbekleidung) EFZ,Solothurn (SO)
