,Anzahl,Firma,Jahr,Lehrstelle,Ort
0,1,EW Aadorf,2018,Abdichter/in EFZ,Aadorf (TG)
1,1,ZELLcom AG,2018,Abdichtungspraktiker/in EBA,Aadorf (TG)
2,2,Rasi & Partner GmbH,2018,Agrarpraktiker/in EBA,Aesch ZH (ZH)
3,2,TI ELECTRIC SA,2018,Agrarpraktiker/in (Landwirtschaft) EBA,Agno (TI)
4,1,Estelec Chablais SA,2018,Agrarpraktiker/in (Spezialkulturen) EBA,Aigle (VD)
5,2,Ernst Gürtler AG,2018,Agrarpraktiker/in (Weinbereitung) EBA,Allschwil (BL)
6,1,Ettlin AG,2018,Anlagen- und Apparatebauer/in EFZ,Alpnach Dorf (OW)
7,2,Gasser Elektro AG,2018,Anlagenführer/in EFZ,Alpnach Dorf (OW)
8,2,Elektrizitätswerk Altdorf AG,2019,Architekturmodellbauer/in EFZ,Altdorf UR (UR)
9,2,Elektro AGZ,2019,Assistent/in Gesundheit und Soziales EBA,Altdorf UR (UR)
10,1,Elektro Planzer AG,2019,Augenoptiker/in EFZ,Altdorf UR (UR)
11,1,Elektro Reisch GmbH,2018,Automatiker/in EFZ,Alterswilen (TG)
12,1,Elektro Steiger,2018,Automatikmonteur/in EFZ,Altstätten SG (SG)
13,1,Elektrizitätswerk Ursern,2019,Automobil-Assistent/in EBA,Andermatt (UR)
14,1,Elektro Gotthard AG,2019,Automobil-Fachmann/-frau EFZ,Andermatt (UR)
15,1,A bis Z Industrieautomation,2018,Automobil-Fachmann/-frau (Nutzfahrzeuge) EFZ,Andwil SG (SG)
16,3,Elektro Sonderer AG,2019,Automobil-Fachmann/-frau (Personenwagen) EFZ,Appenzell (AI)
17,1,Energie- u. Wasserversorgung Appenzell,2019,Automobil-Mechatroniker/in EFZ,Appenzell (AI)
18,1,Bassi Elektro AG,2019,Automobil-Mechatroniker/in (Nutzfahrzeuge) EFZ,Arosa (GR)
19,1,LOTTI & CI. SA,2018,Automobil-Mechatroniker/in (Personenwagen) EFZ,Ascona (TI)
20,1,Schibli Elektrotechnik AG,2019,Bäcker/in-Konditor/in-Confiseur/in EBA,Attinghausen (UR)
21,1,Heule Elektro AG,2018,Bäcker/in-Konditor/in-Confiseur/in EFZ,Au SG (SG)
22,1,Charrière & Fils SA Entreprise générale d'électric,2018,Bäcker/in-Konditor/in-Confiseur/in (Bäckerei-Konditorei) EFZ,Aubonne (VD)
23,1,LDR Elektro + Planung GmbH,2019,Bäcker/in-Konditor/in-Confiseur/in (Konditorei-Confiserie) EFZ,Baar (ZG)
24,1,Zuger Kantonsspital AG,2019,Baumaschinenmechaniker/in EFZ,Baar (ZG)
25,1,ewr elektro ag,2018,Baupraktiker/in EBA,Bad Ragaz (SG)
26,1,nsg elektro gmbh,2018,Bauwerktrenner/in EFZ,Balgach (SG)
27,4,Elektrizitäts AG EAGB,2018,Bekleidungsgestalter/in EFZ,Basel (BS)
28,1,Elektro Basilisk AG,2018,Bekleidungsgestalter/in (Berufs- und Schutzbekleidung) EFZ,Basel (BS)
29,1,Felder & Jetzer AG,2018,Bekleidungsgestalter/in (Damenbekleidung) EFZ,Basel (BS)
30,4,K. Schweizer AG,2018,Bekleidungsgestalter/in (Herrenbekleidung) EFZ,Basel (BS)
31,2,swisspro NW AG,2018,Bekleidungsgestalter/in (Kopfbedeckung) EFZ,Basel (BS)
32,1,Rüegsegger Elektro AG,2019,Bekleidungsgestalter/in (Pelzbekleidung) EFZ,Bätterkinden (BE)
33,1,Triulzi AG,2019,Bekleidungsnäher/in EBA,Bergün/Bravuogn (GR)
34,1,Alfred Haldemann AG,2019,Betonwerker/in EFZ,Bern (BE)
35,4,Alpiq InTec Schweiz AG,2019,Boden-Parkettleger/in EFZ,Bern (BE)
36,1,Badertscher + Co AG,2019,Boden-Parkettleger/in (Parkett) EFZ,Bern (BE)
37,2,Bären Elektro AG,2019,Boden-Parkettleger/in (Textile und elastische Beläge) EFZ,Bern (BE)
38,5,Elektro Burkhalter AG,2019,Bootbauer/in EFZ,Bern (BE)
39,1,Elektro Hardy Walther AG,2019,Bootfachwart/in EFZ,Bern (BE)
40,1,ERTI AG,2019,Buchhändler/in EFZ,Bern (BE)
41,6,Gasser + Bertschy Elektro AG,2019,Büchsenmacher/in EFZ,Bern (BE)
42,1,Impuls Bern AG,2019,Bühnentänzer/in EFZ,Bern (BE)
43,3,Jaisli-Xamax AG,2019,Bühnentänzer/in (Klassischer Tanz) EFZ,Bern (BE)
44,2,Markus Hediger AG,2019,Bühnentänzer/in (Zeitgenössischer Tanz) EFZ,Bern (BE)
45,1,Nyffeler-Kästli Elektro AG,2019,Büroassistent/in EBA,Bern (BE)
46,1,Otto Zenger AG,2019,Carrosserielackierer/in EFZ,Bern (BE)
47,1,Q-Net AG,2019,Carrosseriespengler/in EFZ,Bern (BE)
48,5,Scherler AG,2019,Chemie- und Pharmapraktiker/in EBA,Bern (BE)
49,2,Wanzenried + Hess AG,2019,Chemie- und Pharmatechnologe/-login EFZ,Bern (BE)
50,1,Agel AG,2019,Coiffeur/-euse EBA,Bern 22 (BE)
51,1,CKW Conex AG,2018,Coiffeur/-euse EFZ,Beromünster (LU)
52,2,Alpiq InTec Schweiz AG,2019,Dachdecker/in EFZ,Biel/Bienne (BE)
53,2,ELETTRICITA' GANDOLA,2018,Dachdeckerpraktiker/in EBA,Bioggio (TI)
54,1,Kull Elektro AG,2018,Dekorationsnäher/in EBA,Birmensdorf ZH (ZH)
55,1,Elektro H. Frei AG,2018,Dentalassistent/in EFZ,Birr (AG)
