,Anzahl,Firma,Jahr,Lehrstelle,Ort
0,1,Stohr Wohneinrichtungen AG,2018,Abdichter/in EFZ,Engelberg (OW)
1,1,koller.team gmbh,2019,Abdichtungspraktiker/in EBA,Appenzell (AI)
2,1,08EINS AG,2019,Agrarpraktiker/in EBA,Chur (GR)
3,1,Hänggi AG Basel,2018,Agrarpraktiker/in (Landwirtschaft) EBA,Aesch BL (BL)
4,1,Heinz Braukhoff AG,2018,Agrarpraktiker/in (Spezialkulturen) EBA,Buchs SG (SG)
5,1,Knuchel Dämmtechnik AG,2018,Agrarpraktiker/in (Weinbereitung) EBA,Emmenbrücke (LU)
6,1,AGI AG für Isolierungen,2018,Anlagen- und Apparatebauer/in EFZ,Eschenbach LU (LU)
7,1,Alpha Dämmtechnik GmbH,2018,Anlagenführer/in EFZ,Münchenstein (BL)
8,1,Bioley Isolations SA,2018,Architekturmodellbauer/in EFZ,Prilly (VD)
9,1,Werner Isolierwerk AG,2018,Assistent/in Gesundheit und Soziales EBA,Visp (VS (de))
10,1,Willi Haustechnik AG,2019,Augenoptiker/in EFZ,Chur (GR)
11,1,Kälte 3000 AG,2019,Automatiker/in EFZ,Landquart (GR)
12,1,PAVA Paul von Arx AG,2018,Automatikmonteur/in EFZ,Oensingen (SO)
13,1,Novoglace AG,2018,Automobil-Assistent/in EBA,Visp (VS (de))
