,Anzahl,Firma,Jahr,Lehrstelle,Ort
0,1,Bau- und Verkehrsdepartement BS,2018,Abdichter/in EFZ,Basel (BS)
1,1,Kanal Blitz GmbH,2018,Abdichtungspraktiker/in EBA,Dübendorf (ZH)
2,1,Bachofner Kanalreinigungen AG,2018,Agrarpraktiker/in EBA,Fehraltorf (ZH)
3,1,Cand-Landi SA,2018,Agrarpraktiker/in (Landwirtschaft) EBA,Grandson (VD)
4,1,Mökah AG,2018,Agrarpraktiker/in (Spezialkulturen) EBA,Henggart (ZH)
5,1,Landolt Transport AG,2018,Agrarpraktiker/in (Weinbereitung) EBA,Pfäffikon SZ (SZ)
6,1,Huber Umweltlogistik AG,2018,Anlagen- und Apparatebauer/in EFZ,Weinfelden (TG)
7,1,Flughafen Zürich AG,2018,Anlagenführer/in EFZ,Zürich (ZH)
8,2,Steig Wohnen und Arbeiten,2019,Architekturmodellbauer/in EFZ,Appenzell (AI)
9,2,LebensART Bärau,2019,Assistent/in Gesundheit und Soziales EBA,Bärau (BE)
10,5,"Beschäftigungs- und Wohnheim ""Am Birsig""",2018,Augenoptiker/in EFZ,Bottmingen (BL)
11,1,ARGO,2019,Automatiker/in EFZ,Chur (GR)
12,1,Wohngruppe Oberfreifeld,2019,Automatikmonteur/in EFZ,Chur (GR)
13,1,ARGO,2019,Automobil-Assistent/in EBA,Davos Platz (GR)
14,1,SILEA,2019,Automobil-Fachmann/-frau EFZ,Gwatt (Thun) (BE)
15,1,ARGO Wohnheim Ilanz,2019,Automobil-Fachmann/-frau (Nutzfahrzeuge) EFZ,Ilanz (GR)
16,2,Psychiatrische Dienste Graubünden,2019,Automobil-Fachmann/-frau (Personenwagen) EFZ,Landquart (GR)
17,2,Schlossgarten Riggisberg,2019,Automobil-Mechatroniker/in EFZ,Riggisberg (BE)
18,1,Stiftung für Ganzheitliche Betreuung,2018,Automobil-Mechatroniker/in (Nutzfahrzeuge) EFZ,Rüti ZH (ZH)
19,2,Stiftung Scalottas Scharans,2019,Automobil-Mechatroniker/in (Personenwagen) EFZ,Scharans (GR)
20,2,Stiftung Behindertenbetriebe Uri,2019,Bäcker/in-Konditor/in-Confiseur/in EBA,Schattdorf (UR)
21,1,Werkheim Neuschwende,2018,Bäcker/in-Konditor/in-Confiseur/in EFZ,Trogen (AR)
22,1,Casa Depuoz,2019,Bäcker/in-Konditor/in-Confiseur/in (Bäckerei-Konditorei) EFZ,Trun (GR)
23,5,Stiftung Waldheim,2018,Bäcker/in-Konditor/in-Confiseur/in (Konditorei-Confiserie) EFZ,Walzenhausen (AR)
24,1,Heimstätten Wil,2018,Baumaschinenmechaniker/in EFZ,Wil SG 1 (SG)
25,1,Stiftung bvz Berufslehr-Verbund Zürich,2018,Baupraktiker/in EBA,Zürich (ZH)
26,1,Verein Pflegewohngruppen Buttisholz,2018,Bauwerktrenner/in EFZ,Buttisholz (LU)
27,1,CPSE (centre paramédical et socio-éducatif),2018,Bekleidungsgestalter/in EFZ,Chernex (VD)
28,1,Fondation Beau-Site,2018,Bekleidungsgestalter/in (Berufs- und Schutzbekleidung) EFZ,Clarens (VD)
29,1,CPSE Alexandra sàrl,2018,Bekleidungsgestalter/in (Damenbekleidung) EFZ,Montreux (VD)
30,1,Fondation Pré Pariset,2018,Bekleidungsgestalter/in (Herrenbekleidung) EFZ,Pully (VD)
31,1,Alters- und Pflegezentrum Au AG,2018,Bekleidungsgestalter/in (Kopfbedeckung) EFZ,Steinen (SZ)
