,Anzahl,Firma,Jahr,Lehrstelle,Ort
0,1,Stämpfli AG,2019,Abdichter/in EFZ,Bern (BE)
1,1,W. Thomann AG,2018,Abdichtungspraktiker/in EBA,Ebikon (LU)
2,1,AVD GOLDACH AG,2018,Agrarpraktiker/in EBA,Goldach (SG)
3,1,Bubu AG,2018,Agrarpraktiker/in (Landwirtschaft) EBA,Mönchaltorf (ZH)
4,1,Schumacher AG,2018,Agrarpraktiker/in (Spezialkulturen) EBA,Schmitten FR (FR)
5,1,Schweizerische Nationalbibliothek,2019,Agrarpraktiker/in (Weinbereitung) EBA,Bern (BE)
6,1,Buchbinderei Hollenstein AG,2019,Anlagen- und Apparatebauer/in EFZ,Grafenried (BE)
7,1,Bubu AG,2018,Anlagenführer/in EFZ,Mönchaltorf (ZH)
8,1,Länggass Druck AG Bern,2019,Architekturmodellbauer/in EFZ,Bern (BE)
9,1,Media F SA,2018,Assistent/in Gesundheit und Soziales EBA,Bulle (FR)
10,1,ETI DRUCK AG,2018,Augenoptiker/in EFZ,Hausen am Albis (ZH)
11,1,Appenzeller Druckerei AG,2018,Automatiker/in EFZ,Herisau (AR)
12,1,Brunner Medien AG,2018,Automatikmonteur/in EFZ,Kriens (LU)
13,1,Vögeli AG,2019,Automobil-Assistent/in EBA,Langnau im Emmental (BE)
14,1,Bächler-Sidler AG,2018,Automobil-Fachmann/-frau EFZ,Luzern (LU)
15,1,Niedermann Druck AG,2018,Automobil-Fachmann/-frau (Nutzfahrzeuge) EFZ,St. Gallen (SG)
16,1,Typotron AG,2018,Automobil-Fachmann/-frau (Personenwagen) EFZ,St. Gallen (SG)
17,1,Sonderegger Publish AG,2018,Automobil-Mechatroniker/in EFZ,Weinfelden (TG)
18,1,Theiler Druck AG,2018,Automobil-Mechatroniker/in (Nutzfahrzeuge) EFZ,Wollerau (SZ)
19,2,Bangerter Microtechnik AG,2019,Automobil-Mechatroniker/in (Personenwagen) EFZ,Aarberg (BE)
20,1,Bunorm AG,2019,Bäcker/in-Konditor/in-Confiseur/in EBA,Aarwangen (BE)
21,2,Häni + Co AG,2019,Bäcker/in-Konditor/in-Confiseur/in EFZ,Arch (BE)
22,1,Interferenz FWT AG,2018,Bäcker/in-Konditor/in-Confiseur/in (Bäckerei-Konditorei) EFZ,Au SG (SG)
23,1,EMCH Aufzüge AG,2019,Bäcker/in-Konditor/in-Confiseur/in (Konditorei-Confiserie) EFZ,Bern (BE)
